MDTU,|Tr(L)|,ReTr(L),ImTr(L)
2,0.00856237,0.00776085,0.00361709
4,0.00241242,-0.000611396,-0.00233366
6,0.0029299,0.00137355,-0.00258799
8,0.00155379,-7.80508e-05,-0.00155183
10,0.00228206,0.00225141,-0.000372744
12,0.00372359,0.00113066,0.00354778
14,0.00372359,0.00113066,0.00354778
16,0.00257192,0.000473602,-0.00252793
18,0.00236769,-0.00079755,0.00222932
20,0.00155458,0.000288778,-0.00152752
22,0.00155458,0.000288778,-0.00152752
24,0.00180165,-0.00101424,0.00148905
26,0.00180833,0.000563085,0.00171843
28,0.00112786,0.00108592,0.000304696
30,0.00181864,0.00178322,0.000357189
32,0.00151497,-0.00103593,-0.00110543
34,0.000674722,0.000449667,0.00050304
36,0.00153762,0.00101882,-0.00115165
38,0.00153762,0.00101882,-0.00115165
40,0.0037769,-0.000884088,-0.00367197
42,0.00431186,-0.00415408,-0.00115576
44,0.0015674,0.00124534,0.000951773
46,0.0015674,0.00124534,0.000951773
48,0.00433325,0.00344382,-0.00263005
50,0.00336608,-0.00225822,-0.00249619
52,0.00208144,-0.00136712,0.00156951
54,0.00464117,0.00283087,-0.00367786
56,0.000866262,0.000742224,-0.000446669
58,0.000202137,-0.000122863,-0.000160513
60,0.000202137,-0.000122863,-0.000160513
62,0.00150378,-0.00150218,-6.92772e-05
64,0.00123061,-0.00103023,0.000673066
66,0.00222988,0.00190332,0.00116178
68,0.00258335,-0.00134964,-0.00220277
70,0.00325225,0.00277971,0.00168829
72,0.00252389,0.000183025,-0.00251724
74,0.00441034,0.00355979,0.00260365
76,0.00092957,0.000587248,0.000720583
78,0.00370877,0.00306137,-0.00209357
80,0.00370877,0.00306137,-0.00209357
82,0.000921631,0.000917722,8.47877e-05
84,0.00168712,0.00144984,-0.000862747
86,0.00227145,-0.00209601,-0.00087534
88,0.000855979,0.000785308,0.000340574
90,0.00240042,-0.00185022,-0.00152927
92,0.00240042,-0.00185022,-0.00152927
94,0.00240042,-0.00185022,-0.00152927
96,0.00363858,0.00271039,-0.00242757
98,0.00287935,-0.00152048,-0.00244516
100,0.00228027,-0.00177026,0.0014373
102,0.00162392,0.00119874,-0.00109551
104,0.00149012,0.00146594,0.000267378
106,0.0025163,-0.00213795,-0.001327
108,0.00176635,-0.00169368,0.000501453
110,0.00182164,0.00146676,0.00108028
112,0.00484474,0.00277408,0.00397191
114,0.00143379,0.000574301,-0.00131375
116,0.00204214,-0.00203548,0.000164866
118,0.00145205,0.000179543,-0.00144091
120,0.00384333,-0.00363688,-0.0012427
122,0.00421677,-0.00399096,-0.0013614
124,0.00157761,0.00112354,-0.00110748
126,0.0023556,-0.00190688,0.001383
128,0.00324739,-0.00253631,-0.00202797
130,0.00293646,0.00212643,0.00202512
132,0.00203318,-0.00105899,0.00173561
134,0.000728128,0.000308611,0.000659491
136,0.00266352,-0.00256181,0.000729037
138,0.0022067,-0.00158989,0.00153029
140,0.00299894,-0.00122809,-0.00273596
142,0.00102036,-0.000912721,-0.000456148
144,0.00124809,-0.0011279,-0.000534384
146,0.00486404,-0.00462888,-0.0014941
148,0.00401033,0.00106737,0.00386568
150,0.00187505,-0.00163928,0.000910274
152,0.00165056,0.00147623,0.000738295
154,0.00149657,0.000308363,0.00146445
156,0.00149657,0.000308363,0.00146445
158,0.00307854,0.00294639,0.000892309
160,0.00356789,0.00199576,0.00295749
162,0.00202216,0.00201608,0.000156789
164,0.00154845,-0.00153142,0.000229054
166,0.00154845,-0.00153142,0.000229054
