MDTU,plaq,Re(det),Im(det),link
2,0.226804,5.11141e-10,7.25385e-10,0.789266
4,0.172338,3.34302e-11,1.90602e-11,0.777481
6,0.19731,1.16882e-11,4.93072e-12,0.735977
8,0.177831,3.91306e-11,4.71144e-11,0.759326
10,0.15995,4.36852e-12,1.69272e-11,0.700312
12,0.159304,1.06037e-11,1.4514e-11,0.668057
14,0.159304,1.06037e-11,1.4514e-11,0.668057
16,0.181418,2.47899e-11,2.18353e-11,0.683512
18,0.16339,1.09289e-11,1.10619e-11,0.651224
20,0.157112,2.66842e-10,6.90825e-10,0.627681
22,0.157112,2.66842e-10,6.90825e-10,0.627681
24,0.152968,1.71592e-11,6.89695e-12,0.594676
26,0.141319,3.71261e-11,1.76846e-11,0.562023
28,0.168156,1.65447e-11,2.17368e-11,0.570158
30,0.161732,1.19569e-11,6.9049e-12,0.562253
32,0.149957,1.39191e-11,1.24985e-11,0.573686
34,0.153782,3.80966e-11,1.95075e-11,0.567102
36,0.147558,1.44893e-11,8.37998e-12,0.578195
38,0.147558,1.44893e-11,8.37998e-12,0.578195
40,0.138494,2.62348e-11,2.09083e-11,0.570688
42,0.167368,8.55828e-12,2.18771e-11,0.564888
44,0.145865,9.23635e-12,1.30655e-11,0.530725
46,0.145865,9.23635e-12,1.30655e-11,0.530725
48,0.150371,5.67057e-12,1.20555e-11,0.541969
50,0.193696,1.06861e-11,7.60262e-12,0.526387
52,0.183305,1.0884e-11,8.44239e-12,0.535628
54,0.186846,2.69934e-11,3.78795e-11,0.525024
56,0.139167,7.58619e-12,3.36868e-12,0.508767
58,0.160622,1.73125e-11,6.67479e-11,0.511976
60,0.160622,1.73125e-11,6.67479e-11,0.511976
62,0.15422,1.26163e-11,1.24414e-11,0.527078
64,0.172044,2.74948e-11,1.42874e-11,0.512845
66,0.180362,5.25742e-12,3.68903e-12,0.516152
68,0.168813,1.73451e-11,2.27821e-11,0.526668
70,0.189935,1.59256e-11,2.7633e-11,0.538499
72,0.167178,7.33507e-12,1.46615e-11,0.527879
74,0.165748,6.14546e-12,7.14593e-12,0.53529
76,0.160845,1.43772e-11,3.56163e-11,0.530016
78,0.189969,1.58466e-11,1.95585e-11,0.544112
80,0.189969,1.58466e-11,1.95585e-11,0.544112
82,0.16908,1.96874e-11,1.96009e-11,0.556743
84,0.136749,6.91942e-12,5.86615e-12,0.537381
86,0.139709,1.08929e-11,1.60844e-11,0.524476
88,0.16041,1.01327e-11,9.54047e-12,0.522864
90,0.19187,5.90967e-11,2.91985e-11,0.532074
92,0.19187,5.90967e-11,2.91985e-11,0.532074
94,0.19187,5.90967e-11,2.91985e-11,0.532074
96,0.135773,2.59287e-11,2.15501e-11,0.525189
98,0.143485,3.1765e-11,3.96151e-11,0.521487
100,0.167008,5.18827e-11,1.57154e-11,0.55544
102,0.188631,1.13586e-11,1.78132e-11,0.555662
104,0.180941,1.25757e-11,1.72185e-11,0.531277
106,0.179312,7.90472e-12,6.58198e-12,0.521065
108,0.170499,1.54967e-11,1.83552e-11,0.542419
110,0.153491,1.04734e-11,7.10405e-12,0.538228
112,0.157443,1.66421e-11,1.96148e-11,0.52639
114,0.174367,2.01018e-11,3.85014e-11,0.55606
116,0.169124,3.01411e-11,1.38057e-11,0.560559
118,0.151547,8.13144e-12,9.30739e-12,0.524625
120,0.154456,5.98963e-12,1.37834e-11,0.522174
122,0.164161,1.23162e-11,1.96305e-11,0.529515
124,0.182077,5.11655e-12,4.35961e-12,0.534665
126,0.161363,1.17994e-11,1.62746e-11,0.551601
128,0.151805,1.10043e-11,6.4325e-12,0.533632
130,0.17513,9.76248e-12,7.488e-12,0.519499
132,0.144069,1.54729e-11,1.1223e-11,0.505255
134,0.107586,1.46908e-11,7.32662e-12,0.498259
136,0.18177,1.85149e-11,4.17914e-11,0.496113
138,0.144155,1.25611e-11,1.06326e-11,0.49687
140,0.140846,9.02931e-12,1.49564e-11,0.511756
142,0.173517,1.37031e-11,2.01487e-11,0.515362
144,0.177236,5.84674e-12,9.88165e-12,0.517035
146,0.175688,7.44942e-12,1.05752e-11,0.519449
148,0.197016,1.09958e-11,9.93998e-12,0.522339
150,0.138863,1.16973e-11,6.38854e-11,0.534961
152,0.155074,6.02193e-12,9.47648e-12,0.546425
154,0.16346,7.86321e-12,9.57538e-12,0.560177
156,0.16346,7.86321e-12,9.57538e-12,0.560177
158,0.155794,1.04116e-11,9.11468e-12,0.535347
160,0.184038,1.23619e-11,9.41091e-12,0.540558
162,0.14558,6.77304e-12,5.48579e-12,0.530402
164,0.198358,5.86697e-12,1.12162e-11,0.522456
166,0.198358,5.86697e-12,1.12162e-11,0.522456
168,0.15902,8.93289e-12,2.00484e-11,0.547875
170,0.167517,3.63659e-11,2.09133e-11,0.576852
172,0.185999,1.69937e-11,9.34291e-12,0.566732
174,0.160334,1.66744e-11,1.30947e-11,0.54334
176,0.160334,1.66744e-11,1.30947e-11,0.54334
178,0.174584,9.86612e-12,1.21576e-11,0.534061
180,0.151822,7.61757e-12,8.27334e-12,0.519623
182,0.157797,1.06621e-11,4.99143e-11,0.511602
184,0.146511,7.11834e-12,7.82986e-12,0.508533
186,0.146511,7.11834e-12,7.82986e-12,0.508533
188,0.168776,5.53806e-12,9.44169e-12,0.50798
190,0.169539,1.71386e-11,3.54388e-11,0.50017
192,0.142342,1.16221e-11,1.80017e-11,0.499093
194,0.167984,1.77633e-11,1.68254e-11,0.491743
196,0.161112,2.09516e-11,1.49413e-11,0.501608
198,0.135741,1.03105e-11,1.15144e-11,0.514159
200,0.135741,1.03105e-11,1.15144e-11,0.514159
202,0.162565,1.74194e-11,7.51083e-11,0.515427
204,0.147364,1.3655e-11,1.0502e-11,0.515655
206,0.147364,1.3655e-11,1.0502e-11,0.515655
208,0.171252,2.10663e-11,1.06858e-11,0.516857
210,0.170913,1.5004e-11,1.43699e-11,0.515371
212,0.170913,1.5004e-11,1.43699e-11,0.515371
214,0.145558,5.614e-12,5.3533e-12,0.514861
216,0.161337,1.3123e-11,9.42441e-12,0.518833
218,0.170188,3.57525e-11,4.30735e-11,0.52507
220,0.170188,3.57525e-11,4.30735e-11,0.52507
222,0.198598,1.792e-11,1.50068e-11,0.526259
224,0.140746,2.36761e-11,4.77799e-11,0.514592
226,0.167644,2.83763e-11,1.54908e-11,0.523377
228,0.173185,2.12501e-11,3.05903e-11,0.521833
230,0.169955,1.77091e-11,1.89488e-11,0.514383
232,0.179995,2.44198e-11,1.88915e-11,0.521003
234,0.167381,8.16713e-12,5.98235e-12,0.516345
236,0.167381,8.16713e-12,5.98235e-12,0.516345
238,0.142303,9.5869e-11,1.57454e-11,0.518307
240,0.165756,1.39021e-11,1.8416e-11,0.523716
242,0.17433,1.17566e-11,4.80929e-12,0.519435
244,0.17433,1.17566e-11,4.80929e-12,0.519435
246,0.164818,1.46954e-11,1.50244e-11,0.543905
248,0.15055,6.76484e-11,7.71969e-11,0.534518
250,0.171911,1.74672e-11,2.40616e-11,0.538534
252,0.178187,9.88135e-12,2.13223e-11,0.534121
254,0.178187,9.88135e-12,2.13223e-11,0.534121
256,0.157409,1.41346e-11,4.41334e-12,0.54011
258,0.137347,2.07847e-11,1.34871e-11,0.518687
260,0.134652,1.38662e-11,1.52501e-11,0.509459
262,0.165478,1.6934e-11,2.20214e-11,0.520069
264,0.15061,3.25188e-11,1.73206e-11,0.520843
266,0.156607,4.48928e-12,9.07096e-12,0.511432
268,0.166161,1.43947e-11,5.22388e-12,0.510263
270,0.159607,6.05866e-12,6.65495e-12,0.496685
272,0.167625,2.49518e-11,9.63051e-12,0.504635
274,0.167625,2.49518e-11,9.63051e-12,0.504635
276,0.176226,9.48044e-12,1.17637e-11,0.497281
278,0.146165,9.83858e-12,1.10881e-11,0.505262
280,0.146165,9.83858e-12,1.10881e-11,0.505262
282,0.169244,3.67386e-11,2.62324e-11,0.519539
284,0.18352,2.40856e-11,2.96844e-11,0.50911
286,0.151884,1.56911e-11,1.42381e-11,0.508317
288,0.177414,1.51154e-11,1.43913e-11,0.525761
290,0.148568,1.12476e-11,1.32364e-11,0.510444
