MDTU,|Tr(Lx)|
2,0.0480498
4,0.0678884
6,0.0277195
8,0.0679554
10,0.0609187
12,0.0693404
14,0.0693404
16,0.0622614
18,0.0250189
20,0.0393156
22,0.0393156
24,0.0416462
26,0.0676482
28,0.0574972
30,0.00825804
32,0.0672559
34,0.0515002
36,0.0471021
38,0.0471021
40,0.0135527
42,0.00321344
44,0.0329864
46,0.0329864
48,0.0199631
50,0.0331396
52,0.0288579
54,0.0734576
56,0.0363091
58,0.00682248
60,0.00682248
62,0.0242715
64,0.0842143
66,0.0221768
68,0.00704021
70,0.0589052
72,0.0851583
74,0.0821684
76,0.0134663
78,0.0407599
80,0.0407599
82,0.0257022
84,0.0673024
86,0.0307687
88,0.0465053
90,0.0313409
92,0.0313409
94,0.0313409
96,0.0437949
98,0.0387438
100,0.00770154
102,0.0341079
104,0.0675796
106,0.0587503
108,0.051286
110,0.0390712
112,0.0602064
114,0.0248401
116,0.0491373
118,0.0122346
120,0.0217333
122,0.00909166
124,0.0488943
126,0.0182474
128,0.016201
130,0.0420264
132,0.0416738
134,0.0115745
136,0.0317205
138,0.0456374
140,0.0114049
142,0.0512453
144,0.0651896
146,0.0558845
148,0.0385729
150,0.00934613
152,0.00791041
154,0.0316219
156,0.0316219
158,0.0159697
160,0.0240354
162,0.0195157
164,0.0606167
166,0.0606167
168,0.0244308
170,0.00161664
172,0.0105097
174,0.0739751
176,0.0739751
178,0.0019338
180,0.0373083
182,0.0242265
184,0.0254657
186,0.0254657
188,0.0563614
190,0.00915241
192,0.0442439
194,0.0225777
196,0.0634638
198,0.0358711
200,0.0358711
202,0.0316764
204,0.0517971
206,0.0517971
208,0.0108982
210,0.0645089
212,0.0645089
214,0.0622967
216,0.0240902
218,0.0482604
220,0.0482604
222,0.0521619
224,0.0234535
226,0.0207658
228,0.0194522
230,0.0307372
232,0.053436
234,0.0391437
236,0.0391437
238,0.0390559
240,0.0208394
242,0.0205368
244,0.0205368
246,0.0460293
248,0.0180432
250,0.00846111
252,0.0262168
254,0.0262168
256,0.0467045
258,0.06552
260,0.0247227
262,0.0314309
264,0.0317431
266,0.0579965
268,0.0510261
270,0.0145721
272,0.0173841
274,0.0173841
276,0.0437154
278,0.0535865
280,0.0535865
282,0.0390231
284,0.040599
286,0.0342535
288,0.0492679
290,0.0257303
292,0.0257303
294,0.0771117
296,0.0771117
298,0.0520165
300,0.0350313
302,0.0403243
304,0.00907124
306,0.0386137
308,0.0417517
310,0.0538909
312,0.0324958
314,0.0306989
316,0.0346127
318,0.0398083
320,0.0398083
322,0.0218315
324,0.0146206
326,0.065954
328,0.0381018
330,0.0591529
332,0.0241045
334,0.0241045
336,0.0344
338,0.0344
340,0.0580182
342,0.040506
344,0.0663012
346,0.0106615
348,0.0106615
350,0.0488124
352,0.0379273
354,0.0142804
356,0.0142804
358,0.0733905
360,0.0176688
362,0.03693
364,0.00399909
366,0.0529694
368,0.0736561
370,0.0456077
372,0.0518846
374,0.0518846
376,0.0518846
378,0.0593268
380,0.0593268
382,0.0593268
384,0.0454592
386,0.0289307
388,0.0262056
390,0.0309251
392,0.0309251
394,0.0309251
396,0.0377319
398,0.0376567
400,0.0222956
402,0.0440169
404,0.0638602
406,0.0366441
408,0.0439776
410,0.0439776
412,0.0502861
414,0.0502861
416,0.0502861
418,0.0502861
420,0.0475742
422,0.0475742
424,0.0611597
426,0.0611597
428,0.036374
430,0.0218724
432,0.0166015
434,0.0020996
436,0.0428311
438,0.068251
440,0.0455978
442,0.0453076
444,0.0255395
446,0.0437029
448,0.0437029
450,0.0282664
452,0.0500927
454,0.02709
456,0.029923
458,0.0343128
460,0.0343128
462,0.0432672
464,0.0686887
466,0.0274904
468,0.0490011
470,0.0606448
472,0.0606448
474,0.0583831
476,0.0337509
478,0.0473878
480,0.0255633
482,0.0255633
484,0.0414754
486,0.00307365
488,0.0410655
490,0.062753
492,0.01975
494,0.0317812
496,0.0317812
498,0.0187761
500,0.0102954
502,0.0610719
504,0.00642538
506,0.00642538
508,0.0398888
510,0.0469757
512,0.0469757
514,0.0337632
516,0.0131586
518,0.0131586
520,0.0328153
522,0.0501202
524,0.0161777
526,0.0161777
528,0.0303664
530,0.0646534
532,0.0185936
534,0.0512504
536,0.0467642
538,0.0423659
540,0.0354592
542,0.0313425
544,0.030933
546,0.030933
548,0.0658402
550,0.00986394
552,0.0209055
554,0.0879715
556,0.0685601
558,0.0252848
560,0.0459126
562,0.0256726
564,0.0837193
566,0.0837193
568,0.0434508
570,0.0354598
572,0.0258138
574,0.012977
576,0.0975776
578,0.0513043
580,0.0236887
582,0.0249775
584,0.0249775
586,0.0249775
588,0.0758018
590,0.0333134
592,0.0720752
594,0.0346397
596,0.0177278
598,0.0231694
600,0.0367859
602,0.0121919
604,0.0121919
606,0.0383452
608,0.0420076
610,0.0168116
612,0.0170766
614,0.0718628
616,0.0297882
618,0.0308344
620,0.017489
622,0.0104146
624,0.016417
626,0.0268084
628,0.0298524
630,0.0158775
632,0.0158775
634,0.0729265
636,0.0118887
638,0.0590211
640,0.0548699
642,0.0548699
644,0.0485189
646,0.017793
648,0.0224085
650,0.0224085
652,0.0159735
654,0.0395916
656,0.054549
658,0.0883945
660,0.0527537
