MDTU,min_min,min_max,max_min,max_max
2,-6.24327,-0.457564,0.0362634,0.630652
4,-6.48897,-0.388556,-0.027792,0.815082
6,-5.2903,-0.398031,0.0403061,0.770727
8,-5.38765,-0.574595,-0.0157133,0.732786
10,-4.44065,-0.603781,-0.0427781,0.702016
12,-5.31785,-0.799159,-0.0571592,0.631359
14,-5.31785,-0.799159,-0.0571592,0.631359
16,-4.99995,-0.934666,-0.00909384,0.731401
18,-5.41124,-0.979943,-0.0338047,0.747592
20,-5.83795,-1.10208,0.0288555,0.622706
22,-5.83795,-1.10208,0.0288555,0.622706
24,-5.13556,-1.13931,-0.0809167,0.596713
26,-4.52508,-1.39883,-0.03107,0.61179
28,-5.26366,-0.857721,-0.0170867,0.520688
30,-5.12924,-1.37117,-0.0575529,0.580718
32,-4.76766,-1.36093,-0.00503256,0.587101
34,-4.76171,-1.21886,-0.0577678,0.570465
36,-5.10778,-1.22948,-0.0320942,0.645967
38,-5.10778,-1.22948,-0.0320942,0.645967
40,-5.24346,-1.29338,-0.0367031,0.648243
42,-4.57594,-1.13037,-0.0106979,0.572947
44,-6.2319,-1.33899,-0.0487202,0.466396
46,-6.2319,-1.33899,-0.0487202,0.466396
48,-4.66162,-1.32695,0.00593943,0.519062
50,-4.6489,-1.6336,-0.021651,0.468516
52,-4.94142,-1.52326,-0.0750164,0.490387
54,-7.7151,-1.60927,0.0375897,0.420611
56,-5.13313,-1.61069,-0.016132,0.451647
58,-4.93541,-1.36175,-0.0438366,0.474126
60,-4.93541,-1.36175,-0.0438366,0.474126
62,-4.93888,-1.42075,0.0208428,0.508647
64,-5.86811,-1.57458,-0.0309814,0.519661
66,-5.30185,-1.61937,-0.00472965,0.398243
68,-4.9912,-1.52586,-0.050201,0.422578
70,-4.86386,-1.4098,0.0257134,0.54409
72,-5.34926,-1.44404,-0.0713611,0.500648
74,-5.52756,-1.56869,-0.0824134,0.492151
76,-5.06722,-1.48118,-0.0215905,0.467828
78,-5.00223,-1.44435,0.0481064,0.538343
80,-5.00223,-1.44435,0.0481064,0.538343
82,-5.11932,-1.40206,-0.00512293,0.480246
84,-6.26903,-1.5115,-0.0436171,0.551151
86,-4.84077,-1.50862,-0.0147951,0.464937
88,-5.45586,-1.42002,0.002132,0.504537
90,-5.99361,-1.16633,0.010023,0.486767
92,-5.99361,-1.16633,0.010023,0.486767
94,-5.99361,-1.16633,0.010023,0.486767
