MDTU,link
2,1
4,1
6,1
8,1
10,1
12,1
14,1
16,1
18,1
20,1
22,1
24,1
26,1
28,1
30,1
32,1
34,1
36,1
38,1
40,1
42,1
44,1
46,1.75559
48,1.66456
50,1.10462
52,0.78723
54,0.337545
56,0.376964
58,0.925554
60,0.697605
62,0.341948
64,0.290235
66,0.290235
68,0.330946
70,0.243691
72,0.246798
74,0.152953
76,0.210005
78,0.250426
80,0.250426
82,0.449778
84,0.63119
86,1.0271
88,1.41647
90,1.29759
92,1.29759
94,1.07701
96,0.99171
98,0.85061
100,1.37664
102,0.704699
104,0.704699
106,0.84732
108,0.669269
110,0.687409
112,0.765526
114,2.12223
116,2.34233
118,1.99571
120,2.23517
122,2.11067
124,2.40335
126,1.98486
128,1.98486
130,1.98486
132,3.40878
134,3.40878
136,3.68981
138,5.34382
140,4.37528
142,2.8857
144,3.08915
146,4.21334
148,5.95238
150,4.85537
152,3.88895
154,3.88895
156,5.3578
158,3.78836
160,2.53165
162,3.56954
164,3.56954
166,3.56954
168,2.29008
170,2.73775
172,4.6362
174,5.31742
176,4.57587
178,5.20095
180,5.85339
182,4.63856
184,5.1528
186,3.92836
188,3.92836
190,6.24558
192,5.01906
194,4.66424
196,7.08272
198,7.5281
200,6.94264
202,6.49393
204,4.90198
206,6.28764
208,7.14834
210,6.54777
212,6.54777
214,6.83275
216,7.97707
218,7.97707
220,7.97707
222,6.91093
224,6.49113
226,9.21613
228,9.21613
230,9.21613
232,9.21613
234,10.135
236,8.85221
238,8.85221
240,7.582
242,7.62052
244,7.08581
246,8.51738
248,13.3635
250,13.3635
252,14.8764
254,16.2999
256,19.7076
258,19.3071
260,19.1622
262,24.9476
264,20.8969
266,17.351
268,18.0025
270,18.0482
272,17.4749
274,19.0423
276,15.3375
278,15.4848
280,13.0589
282,13.0589
284,10.3962
286,9.92051
288,7.65527
290,5.83905
292,6.26099
294,6.00418
296,7.35119
298,7.83114
300,8.04915
302,10.7703
304,11.9705
306,15.9226
308,16.4846
310,14.4302
312,14.9805
314,14.9805
316,15.8609
318,15.8609
320,13.7403
322,14.0652
324,12.6747
326,12.6747
328,15.1767
330,15.1356
332,14.9387
334,14.9387
336,17.8871
338,19.9707
340,21.9268
342,27.7696
344,28.5227
346,27.755
348,25.8803
350,28.1492
352,28.7887
354,27.5094
356,27.9789
358,27.9789
360,30.999
362,32.8615
364,37.3272
366,39.7835
368,38.1535
370,43.4199
372,46.172
374,47.0455
376,45.8646
378,45.8646
380,44.4858
382,49.4459
384,49.4459
386,45.6359
388,46.3248
390,38.3981
392,36.2894
394,39.9125
396,43.0851
398,40.8468
400,44.5589
402,42.4821
404,51.1889
406,53.8146
408,48.3176
410,50.2428
412,45.7417
414,39.004
416,43.6225
418,41.7168
420,41.761
422,44.3208
424,45.4331
426,45.4331
428,42.5448
430,39.6687
432,36.4238
434,36.7585
436,33.8904
438,35.9964
440,42.1948
442,42.604
444,40.1319
446,43.6209
448,45.0458
450,51.1391
452,49.9649
454,51.0299
456,57.2293
458,59.5316
460,59.5316
462,67.7849
464,76.3709
466,77.2818
468,72.7633
470,72.5044
472,72.5044
474,72.5216
476,74.8214
478,68.8978
480,72.3825
482,71.95
484,68.387
486,61.422
488,62.0265
490,61.8093
492,60.8792
494,53.7332
496,47.4352
498,48.9671
500,46.3378
502,39.2402
504,37.6897
506,36.2336
508,36.7848
510,36.6428
512,35.7678
514,35.7678
516,35.1471
518,38.4861
520,35.2763
522,30.0102
524,26.0406
526,25.0025
528,25.9489
530,28.1565
532,26.5086
534,27.2525
536,33.8373
538,35.3997
540,35.3731
542,34.4308
544,30.9755
546,28.8482
548,31.1065
550,30.8226
552,26.6341
554,26.4575
556,28.0202
558,29.1421
560,25.9626
562,25.9626
564,25.9626
566,27.1347
568,27.1347
570,27.1347
572,28.0936
574,32.6902
576,38.9657
578,35.5014
580,35.235
582,36.6502
584,32.9978
586,30.431
588,29.6491
590,32.0589
592,32.0589
594,30.3723
596,30.2008
598,29.6363
600,32.5812
602,35.3011
604,27.456
606,27.8657
608,28.428
610,26.8445
612,24.598
614,22.2151
616,21.6423
618,19.5616
620,20.1681
622,19.7358
624,20.0712
626,21.3019
628,24.4753
630,25.2116
632,26.9051
634,29.7685
636,28.9714
638,33.5317
640,29.8351
642,33.6206
644,38.3587
646,39.5635
648,37.4607
650,38.589
652,41.2738
654,41.372
656,39.5724
658,36.939
660,35.9188
662,45.6665
664,45.5922
666,52.42
668,50.6409
670,51.7675
672,49.1645
674,49.5298
676,51.3312
678,51.8189
680,58.5172
682,58.5172
684,58.5172
686,55.7677
688,60.2807
690,62.1667
692,66.4312
694,60.3808
696,63.9645
698,63.2433
700,65.525
702,59.5098
704,59.8158
706,66.2351
708,60.2378
710,57.9926
712,55.5239
714,57.0403
716,53.5247
718,55.0236
720,55.6992
722,50.2472
724,48.4452
726,42.4922
728,45.4261
