MDTU,S_B
2,0
4,0
6,0
8,0
10,0
12,0
14,0
16,0
18,0
20,0
22,0
24,0
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0.845551
48,0.618272
50,0.455779
52,0.516511
54,0.49706
56,0.567521
58,0.626037
60,0.502707
62,0.636941
64,0.672555
66,0.672555
68,0.594071
70,0.624404
72,0.530434
74,0.532603
76,0.523657
78,0.5512
80,0.5512
82,0.447108
84,0.525582
86,0.522143
88,0.610889
90,0.589624
92,0.589624
94,0.497572
96,0.531032
98,0.534436
100,0.55294
102,0.539451
104,0.539451
106,0.648585
108,0.438602
110,0.533496
112,0.480169
114,0.566739
116,0.560088
118,0.566811
120,0.580059
122,0.589362
124,0.515359
126,0.520614
128,0.520614
130,0.520614
132,0.586664
134,0.586664
136,0.588121
138,0.58154
140,0.524612
142,0.462194
144,0.31845
146,0.453532
148,0.383122
150,0.59937
152,0.542861
154,0.542861
156,0.545652
158,0.465907
160,0.516139
162,0.545642
164,0.545642
166,0.545642
168,0.58627
170,0.5034
172,0.525753
174,0.43719
176,0.593204
178,0.477959
180,0.460378
182,0.621088
184,0.484424
186,0.743454
188,0.743454
190,0.533561
192,0.516892
194,0.513399
196,0.380654
198,0.440162
200,0.468233
202,0.668713
204,0.512291
206,0.5605
208,0.54177
210,0.556292
212,0.556292
214,0.530452
216,0.555849
218,0.555849
220,0.555849
222,0.494516
224,0.562782
226,0.570531
228,0.570531
230,0.570531
232,0.570531
234,0.502174
236,0.428819
238,0.428819
240,0.540953
242,0.452267
244,0.433231
246,0.6565
248,0.427367
250,0.427367
252,0.446805
254,0.469584
256,0.544811
258,0.5387
260,0.497212
262,0.530144
264,0.507221
266,0.560225
268,0.509831
270,0.499973
272,0.623542
274,0.514105
276,0.509693
278,0.474334
280,0.441139
282,0.441139
284,0.557829
286,0.447372
288,0.458123
290,0.51175
292,0.497879
294,0.536524
296,0.494684
298,0.442244
300,0.449806
302,0.444236
304,0.522484
306,0.694003
308,0.595596
310,0.650401
312,0.582701
314,0.582701
316,0.59843
318,0.59843
320,0.529101
322,0.54286
324,0.532139
326,0.532139
328,0.581655
330,0.613516
332,0.600539
334,0.600539
336,0.60362
338,0.455831
340,0.45544
342,0.518251
344,0.478289
346,0.621585
348,0.548763
350,0.558959
352,0.516921
354,0.560441
356,0.483256
358,0.483256
360,0.433455
362,0.490097
364,0.542996
366,0.655282
368,0.533106
370,0.522549
372,0.569446
374,0.551047
376,0.550564
378,0.550564
380,0.659812
382,0.518439
384,0.518439
386,0.502731
388,0.543041
390,0.567576
392,0.558803
394,0.584963
396,0.60373
398,0.605997
400,0.504212
402,0.573099
404,0.536848
406,0.502406
408,0.580424
410,0.594161
412,0.465088
414,0.427536
416,0.605274
418,0.630488
420,0.774401
422,0.453763
424,0.439109
426,0.439109
428,0.528238
430,0.543174
432,0.62605
434,0.613925
436,0.525494
438,0.499431
440,0.478686
442,0.491907
444,0.547249
446,0.474419
448,0.421637
450,0.398473
452,0.470898
454,0.559254
456,0.481433
458,0.659692
460,0.659692
462,0.688631
464,0.568951
466,0.528854
468,0.631828
470,0.432011
472,0.432011
474,0.43013
476,0.593346
478,0.564924
480,0.459968
482,0.415914
484,0.408006
486,0.498756
488,0.544558
490,0.644319
492,0.524189
494,0.499455
496,0.550739
498,0.443312
500,0.628765
502,0.569742
504,0.419768
506,0.519506
508,0.542215
510,0.509607
512,0.534769
514,0.534769
516,0.452798
518,0.48719
520,0.569074
522,0.505175
524,0.431301
526,0.565435
528,0.562974
530,0.645796
532,0.560109
534,0.514773
536,0.542529
538,0.425141
540,0.487607
542,0.453576
544,0.464858
546,0.57258
548,0.439497
550,0.447937
552,0.559488
554,0.62276
556,0.662629
558,0.605693
560,0.858206
562,0.858206
564,0.858206
566,0.7461
568,0.7461
570,0.7461
572,0.49441
574,0.645512
576,0.548517
578,0.538052
580,0.520127
582,0.515583
584,0.607256
586,0.429619
588,0.577718
590,0.510682
592,0.510682
594,0.620425
596,0.490355
598,0.533965
600,0.563702
602,0.604568
604,0.471954
606,0.596036
608,0.462318
610,0.584951
612,0.636184
614,0.498853
616,0.511641
618,0.40888
620,0.480536
622,0.478001
624,0.593559
626,0.471463
628,0.525401
630,0.54271
632,0.480135
634,0.522548
636,0.430886
638,0.580913
640,0.541674
642,0.519844
644,0.463373
646,0.483036
648,0.512018
650,0.497165
652,0.535901
654,0.651987
656,0.569233
658,0.568087
660,0.59951
662,0.46342
664,0.511015
666,0.519526
668,0.515011
670,0.536508
672,0.474324
674,0.489914
676,0.454149
678,0.597449
680,0.571347
682,0.571347
684,0.571347
686,0.454677
688,0.546621
690,0.586481
692,0.464576
694,0.532072
696,0.491435
698,0.482688
700,0.477182
702,0.519396
704,0.509012
706,0.493794
708,0.423952
710,0.433576
712,0.521253
714,0.453208
716,0.5853
718,0.516815
720,0.595485
722,0.467929
724,0.564885
726,0.437808
728,0.478961
730,0.471953
732,0.457636
734,0.457636
736,0.397118
738,0.545188
740,0.51141
742,0.576502
744,0.576502
746,0.545906
748,0.516897
750,0.508142
752,0.450976
754,0.549401
756,0.60069
758,0.60069
760,0.504822
762,0.578264
764,0.459395
766,0.564378
768,0.48275
770,0.406932
772,0.477904
774,0.51276
776,0.513315
778,0.513315
780,0.564281
782,0.546986
784,0.666311
786,0.666311
788,0.666311
790,0.666311
792,0.666311
794,0.666311
796,0.50383
798,0.59092
800,0.59092
802,0.568897
804,0.63709
806,0.484989
808,0.687746
810,0.470911
812,0.495904
814,0.514534
816,0.651508
818,0.450832
820,0.476751
822,0.531595
824,0.531595
826,0.601109
828,0.613072
830,0.635766
832,0.452909
834,0.432681
836,0.583091
838,0.49547
840,0.471129
842,0.523737
844,0.537866
846,0.538961
848,0.689809
850,0.57223
852,0.44552
854,0.459782
856,0.621609
858,0.538519
860,0.607056
862,0.490189
864,0.490189
866,0.704124
868,0.648724
870,0.529967
872,0.723024
874,0.548532
876,0.566643
878,0.648444
880,0.50441
882,0.50441
884,0.50441
886,0.50441
888,0.453237
890,0.464512
892,0.435815
894,0.545454
896,0.611576
898,0.579935
900,0.463732
902,0.463732
904,0.567762
906,0.567762
908,0.567762
910,0.567762
912,0.567762
914,0.567762
916,0.567762
918,0.477334
920,0.469757
922,0.590781
924,0.459575
926,0.473457
928,0.479904
930,0.435597
932,0.500284
934,0.585428
936,0.488074
938,0.46772
940,0.549922
942,0.480855
944,0.566935
946,0.45093
948,0.547894
950,0.604521
952,0.428973
954,0.655615
956,0.492358
958,0.46876
960,0.444832
962,0.571948
964,0.546727
966,0.494664
968,0.470876
970,0.671943
972,0.671943
974,0.555379
976,0.563747
978,0.573822
980,0.565308
982,0.433664
984,0.516202
986,0.5505
988,0.540016
990,0.52045
992,0.520566
994,0.481745
996,0.452755
998,0.514598
1000,0.602755
1002,0.626784
1004,0.562878
1006,0.563129
1008,0.493266
1010,0.479272
1012,0.471801
1014,0.464875
1016,0.464875
1018,0.491637
1020,0.551318
1022,0.524147
1024,0.49552
1026,0.745111
1028,0.745111
1030,0.553844
1032,0.511185
1034,0.511185
1036,0.471871
1038,0.517617
1040,0.544705
1042,0.451128
1044,0.658711
1046,0.635413
1048,0.635413
1050,0.483725
1052,0.468802
1054,0.522847
1056,0.561326
1058,0.561326
1060,0.561326
1062,0.561326
1064,0.561326
1066,0.561326
1068,0.561326
1070,0.561326
1072,0.561326
1074,0.561326
1076,0.561326
1078,0.609505
1080,0.55683
1082,0.55683
1084,0.55683
1086,0.513019
1088,0.495993
1090,0.560623
1092,0.552934
1094,0.52521
1096,0.538152
1098,0.581399
1100,0.470028
1102,0.584547
1104,0.447055
1106,0.516876
1108,0.568635
1110,0.517781
1112,0.517781
1114,0.48701
1116,0.528481
1118,0.515877
1120,0.554808
1122,0.55771
1124,0.608649
1126,0.45301
1128,0.599781
1130,0.599781
1132,0.602787
1134,0.595205
1136,0.481229
1138,0.57145
1140,0.44534
1142,0.532645
1144,0.591443
1146,0.658055
1148,0.527492
1150,0.640482
1152,0.58461
1154,0.58461
1156,0.530371
1158,0.429881
1160,0.505151
1162,0.455247
1164,0.535506
1166,0.555555
1168,0.452424
1170,0.545999
1172,0.569868
1174,0.483092
1176,0.506949
1178,0.506949
1180,0.531314
1182,0.478855
1184,0.49818
1186,0.526772
1188,0.526772
1190,0.588967
1192,0.389085
1194,0.440554
1196,0.498567
1198,0.57453
1200,0.527522
1202,0.527522
1204,0.555304
1206,0.555304
1208,0.568253
1210,0.468621
1212,0.52253
1214,0.486302
1216,0.486302
1218,0.427105
1220,0.51412
1222,0.465317
1224,0.429094
1226,0.326945
1228,0.441785
1230,0.743205
1232,0.743205
1234,0.743205
1236,0.743205
1238,0.743205
1240,0.743205
1242,0.564262
1244,0.488705
1246,0.488705
1248,0.690222
1250,0.540327
1252,0.459894
1254,0.476138
1256,0.555614
1258,0.466821
1260,0.483163
1262,0.532026
1264,0.647941
1266,0.589247
1268,0.573406
1270,0.585442
1272,0.585442
1274,0.661551
1276,0.48499
1278,0.476747
1280,0.436818
1282,0.611677
1284,0.497878
1286,0.516037
1288,0.516037
1290,0.516037
1292,0.480769
1294,0.549931
1296,0.646288
1298,0.599437
1300,0.599437
1302,0.55649
1304,0.590667
1306,0.590667
1308,0.394799
1310,0.617435
1312,0.627884
1314,0.498583
1316,0.443888
1318,0.501165
1320,0.416177
1322,0.455365
1324,0.55106
1326,0.522943
1328,0.522943
1330,0.525896
1332,0.559495
1334,0.562328
1336,0.579225
1338,0.560364
1340,0.558364
1342,0.510082
1344,0.537465
1346,0.503708
1348,0.552428
1350,0.441887
1352,0.441887
1354,0.441887
1356,0.554724
1358,0.679712
1360,0.53909
1362,0.53909
1364,0.483851
1366,0.463546
1368,0.540088
1370,0.57157
1372,0.471406
1374,0.471406
1376,0.557754
1378,0.558218
1380,0.711872
1382,0.526803
1384,0.591506
1386,0.663345
1388,0.663345
1390,0.663345
1392,0.469868
1394,0.665843
1396,0.559702
1398,0.473738
1400,0.472112
1402,0.500128
1404,0.500128
1406,0.419001
1408,0.449167
1410,0.624321
1412,0.624321
1414,0.728616
1416,0.728616
1418,0.673478
1420,0.47297
1422,0.39169
1424,0.521873
1426,0.557145
1428,0.596421
1430,0.596421
1432,0.551245
1434,0.484486
1436,0.412368
1438,0.69121
1440,0.639739
1442,0.639739
1444,0.555495
1446,0.630456
1448,0.530428
1450,0.530428
1452,0.442951
1454,0.434502
1456,0.482228
1458,0.443316
1460,0.363245
1462,0.431449
1464,0.536683
1466,0.551188
1468,0.451687
1470,0.453385
1472,0.580534
1474,0.491605
1476,0.567628
1478,0.534431
1480,0.534431
1482,0.547759
1484,0.585122
1486,0.585122
1488,0.626575
1490,0.5073
1492,0.5073
1494,0.52337
1496,0.528715
1498,0.492214
1500,0.496141
1502,0.420484
1504,0.410072
1506,0.397772
1508,0.616106
1510,0.435802
1512,0.435786
1514,0.496298
1516,0.450115
1518,0.507921
1520,0.448801
1522,0.389292
1524,0.554582
1526,0.611413
1528,0.486432
1530,0.5683
1532,0.432102
1534,0.639841
1536,0.615493
1538,0.615493
1540,0.42157
1542,0.490511
1544,0.459883
1546,0.566054
1548,0.488411
1550,0.569384
1552,0.509436
1554,0.555783
1556,0.598557
1558,0.4821
1560,0.414681
1562,0.48368
1564,0.519181
1566,0.499735
1568,0.593133
1570,0.593133
1572,0.481429
1574,0.494883
1576,0.441719
1578,0.494814
1580,0.627068
1582,0.53078
1584,0.53078
1586,0.593371
1588,0.51776
1590,0.508288
1592,0.356439
1594,0.40392
1596,0.51193
1598,0.56828
1600,0.581196
1602,0.506389
1604,0.507529
1606,0.507529
1608,0.488916
1610,0.454797
1612,0.605334
1614,0.609719
1616,0.70345
1618,0.70345
1620,0.609275
1622,0.498027
1624,0.515381
1626,0.418224
1628,0.476375
1630,0.439063
1632,0.515059
1634,0.590701
1636,0.502464
1638,0.645064
1640,0.615498
1642,0.525792
1644,0.456025
1646,0.537142
1648,0.497862
1650,0.596122
1652,0.488778
1654,0.580002
1656,0.580002
1658,0.596728
1660,0.415562
1662,0.589085
1664,0.636395
1666,0.504485
1668,0.469018
1670,0.556901
1672,0.556092
1674,0.450585
1676,0.513701
1678,0.496967
1680,0.496967
1682,0.647044
1684,0.586313
1686,0.586313
1688,0.608584
1690,0.56558
1692,0.518179
1694,0.43056
1696,0.628717
1698,0.421869
1700,0.421828
1702,0.488125
1704,0.568688
1706,0.554146
1708,0.554146
1710,0.467479
1712,0.463002
1714,0.553451
1716,0.553451
1718,0.553451
1720,0.52148
1722,0.510227
1724,0.68175
1726,0.609157
1728,0.681416
1730,0.681416
1732,0.512973
1734,0.632804
1736,0.513101
1738,0.40069
1740,0.492908
1742,0.541572
1744,0.443602
1746,0.38649
1748,0.458539
1750,0.46798
1752,0.613491
1754,0.44915
1756,0.714371
1758,0.436244
1760,0.435651
1762,0.409406
1764,0.625076
1766,0.569111
1768,0.568577
1770,0.58219
1772,0.536743
1774,0.541869
1776,0.528077
1778,0.66437
1780,0.66437
1782,0.49239
1784,0.55407
1786,0.508024
1788,0.453188
1790,0.453188
1792,0.525133
1794,0.463022
1796,0.466869
1798,0.532282
1800,0.486843
1802,0.485504
1804,0.421514
1806,0.535868
1808,0.439871
1810,0.551466
1812,0.50387
1814,0.583266
1816,0.553991
1818,0.509034
1820,0.480776
1822,0.448532
1824,0.550882
1826,0.606728
1828,0.515809
1830,0.515809
1832,0.536954
1834,0.608973
1836,0.487895
1838,0.413961
1840,0.41224
1842,0.566033
1844,0.643293
1846,0.643293
1848,0.643293
1850,0.534341
1852,0.445225
1854,0.57162
1856,0.516416
1858,0.441689
1860,0.447249
1862,0.458231
1864,0.458971
1866,0.383661
1868,0.452352
1870,0.492651
1872,0.513662
1874,0.478393
1876,0.478393
