t,|deltaS|
1,16.37
2,9.864
3,37.69
4,106.6
5,78.82
6,16.59
7,54.32
8,3.455
9,10.68
10,14.69
11,79.98
12,30.4
13,77.65
14,39.11
15,134.7
16,13.05
17,17.53
18,20.18
19,7.816
20,49.14
21,29.15
22,59.97
23,1.3
24,0.1026
25,0.2299
26,0.2526
27,0.2304
28,0.1335
29,0.1028
30,0.3855
31,0.4886
32,0.3115
33,0.2882
34,0.4804
35,0.1882
36,0.2289
37,0.09408
38,0.05477
39,0.05134
40,0.1347
41,0.1257
42,0.09783
43,0.3367
44,0.325
45,0.01134
46,0.3809
47,0.2299
48,0.2752
49,0.06835
50,0.1173
51,0.02976
52,0.2048
53,0.2276
54,0.03341
55,0.0649
56,0.6055
57,0.4819
58,0.1526
59,0.1026
60,0.419
61,0.2773
62,0.03112
63,0.209
64,0.4032
65,0.5226
66,0.5236
67,0.1944
68,0.6038
69,0.1388
70,0.06958
71,0.1813
72,0.2865
73,0.3943
74,0.1638
75,0.499
76,0.06313
77,0.2613
78,0.2719
79,0.4493
80,0.004069
81,0.4192
82,0.1561
83,0.3379
84,0.2886
85,0.3831
86,0.2743
87,0.3284
88,0.116
89,0.06635
90,0.2335
91,0.3671
92,0.08231
93,0.3792
94,0.4779
95,0.2419
96,0.3458
97,0.4059
98,0.1725
99,0.1581
100,0.1459
101,0.1449
102,0.2982
103,0.195
104,0.02501
105,0.1678
106,0.2797
107,0.2654
108,0.2981
109,0.4966
110,0.3375
111,0.331
112,0.1578
113,0.3703
114,0.64
115,0.3532
116,0.5984
117,0.01393
118,0.4169
119,0.1117
120,0.107
121,0.01685
122,0.07374
123,0.09693
124,0.1494
125,0.1744
126,0.06469
127,0.09636
128,0.0414
129,0.2812
130,0.1903
131,0.1821
132,0.6416
133,0.09292
134,0.02589
135,0.08245
136,0.2309
137,0.176
138,0.124
139,0.02483
140,0.2505
141,0.06979
142,0.001347
143,0.4467
144,0.1026
145,0.0004888
146,0.08431
147,0.1095
148,0.2446
149,0.02908
150,0.2244
151,0.2063
152,0.2991
153,0.06825
154,0.04299
155,0.2201
156,0.1075
157,0.2363
158,0.07944
159,0.1331
160,0.3725
161,0.06848
162,0.1359
163,0.2299
164,0.01522
165,0.02595
166,0.5793
167,0.4883
168,0.2172
169,0.4296
170,0.3346
171,0.1941
172,0.4454
173,0.01201
174,0.02413
175,0.0505
176,0.1801
177,0.09197
178,0.08959
179,0.31
180,0.06683
181,0.2251
182,0.008077
183,0.08976
184,0.3562
185,0.1883
186,0.4412
187,0.2025
188,0.2938
189,0.4397
190,0.04798
191,0.5192
192,0.482
193,0.3332
194,0.1489
195,0.09571
196,0.03345
197,0.219
198,0.08943
199,0.2261
200,0.3518
201,0.3142
202,0.3983
203,0.5319
204,0.1884
205,0.2701
206,0.218
207,0.01451
208,0.1293
209,0.27
210,0.1805
211,0.04425
212,0.4239
213,0.6973
214,0.1204
215,0.3265
216,0.107
217,0.1028
218,0.5113
219,0.1564
220,0.05649
221,0.03689
222,0.1229
223,0.2151
224,0.1405
225,0.08024
226,0.3163
227,0.1758
228,0.2749
229,0.1071
230,0.5456
231,0.2452
232,0.3233
233,0.0746
234,0.02985
235,0.24
236,0.2161
237,0.1973
238,0.0437
239,0.01708
240,0.3327
241,0.08636
242,0.06296
243,0.1475
244,0.3174
245,0.2099
246,0.2357
247,0.3502
248,0.02939
249,0.2072
250,0.2463
251,0.3419
252,0.4573
253,0.04688
254,0.1188
255,0.49
256,0.1781
257,0.3177
258,0.4856
259,0.3963
260,0.1539
261,0.212
262,0.006843
263,0.06547
264,0.04309
265,0.02596
266,0.3287
267,0.3215
268,0.5879
269,0.5116
270,0.6114
271,0.1827
272,0.1848
273,0.1746
274,0.328
275,0.3387
276,0.3251
277,0.1162
278,0.03532
279,0.06039
280,0.2237
281,0.4521
282,0.528
283,0.1628
284,0.9893
285,0.443
286,0.3745
287,0.1533
288,0.009712
289,0.4176
290,0.03055
291,0.2111
292,0.1174
293,0.1275
294,0.1609
295,0.04407
296,0.286
297,0.2301
298,0.4358
299,0.05902
300,0.2066
301,0.1214
302,0.1505
303,0.2617
304,0.2435
305,0.001634
306,0.00423
307,0.07934
308,0.0123
309,0.001091
310,0.3582
311,0.0603
312,0.04614
313,0.1867
314,0.1124
315,0.02267
316,0.1379
317,0.2674
318,0.272
319,0.1429
320,0.2136
321,0.03084
322,0.5833
323,0.2107
324,0.6552
325,0.5056
326,0.3889
327,0.0444
328,0.1227
329,0.2995
330,0.09405
331,0.06453
332,0.2002
333,0.01898
334,0.04505
335,0.06085
336,0.3004
337,0.2965
338,0.05853
339,0.155
340,0.01401
341,0.3743
342,0.2514
343,0.3783
344,0.1979
345,0.07421
346,0.2968
347,0.3594
348,0.06704
349,0.2156
350,0.157
351,0.05555
352,0.002494
353,0.3166
354,0.09447
355,0.6825
356,0.1532
357,0.1903
358,0.08185
359,0.06723
360,0.239
361,0.106
362,0.06011
363,0.2167
364,0.06491
365,0.07798
366,0.07088
367,0.2931
368,0.3003
369,0.3965
370,0.3162
371,0.2562
372,0.5559
373,0.08091
374,0.04007
375,0.1496
376,0.2706
377,0.1047
378,0.1516
379,0.3596
380,0.231
381,0.2659
382,0.04319
383,0.008454
384,0.5309
385,0.4048
386,0.1929
387,0.1799
388,0.7359
389,0.6509
390,0.2562
391,0.3683
392,0.1771
393,0.6947
394,0.1826
395,0.6839
396,0.4187
397,0.6796
398,0.2755
399,0.2783
400,0.3799
401,0.1082
402,0.3083
403,0.06727
404,0.06918
405,0.06977
406,0.1395
407,0.08131
408,0.05745
409,0.3229
410,0.4243
411,0.01631
412,0.2541
413,0.197
414,0.04296
415,0.03267
416,0.1306
417,0.4333
418,0.4798
419,0.2579
420,0.1157
421,0.05372
422,0.0381
423,0.06382
424,0.1953
425,0.07656
426,0.38
427,0.1741
428,0.2839
429,0.08446
430,0.2569
431,0.4399
432,0.2253
433,0.00181
434,0.6393
435,0.1383
436,0.05902
437,0.359
438,0.1239
439,0.08351
440,0.06891
441,0.2712
442,0.4639
443,0.17
444,0.01788
445,0.05714
446,0.3748
447,0.3842
448,0.02822
449,0.05133
450,0.03853
451,0.191
452,0.929
453,0.7575
454,0.4793
455,0.2313
456,0.9238
457,0.9658
458,0.9507
459,0.5229
460,0.05606
461,0.4008
462,0.336
463,0.2878
464,0.2199
465,0.1462
466,0.3545
467,0.4613
468,0.4371
469,0.008722
470,0.3536
471,0.05712
472,0.1642
473,0.02193
474,0.1581
475,0.04616
476,0.219
477,0.1662
478,0.1618
479,0.13
480,0.08095
481,0.253
482,0.5231
483,0.1146
484,0.1828
485,0.2724
486,0.5339
487,0.03214
488,0.1301
489,0.3782
490,0.2529
491,0.09723
492,0.2997
493,0.4218
494,0.08909
495,0.1548
496,0.1341
497,0.2607
498,0.114
499,0.2355
500,0.1416
501,0.2168
502,0.5896
503,0.3014
504,0.3942
505,0.03047
506,0.1036
507,0.4945
508,0.2445
509,0.1402
510,0.1365
511,0.2875
512,0.3446
513,0.5589
514,0.5235
515,0.7429
516,0.1178
517,0.1116
518,0.1523
519,0.09238
520,0.01143
521,0.1739
522,0.2197
523,0.6351
524,0.9767
525,0.5079
526,0.07725
527,0.7627
528,0.05479
529,0.7467
530,0.9119
531,0.8045
532,1.144
533,0.8689
534,1.086
535,0.3903
536,0.8036
537,0.8499
538,0.8702
539,1.083
540,0.1256
541,0.3716
542,0.2376
543,0.04258
544,0.2599
545,0.2931
546,0.07457
547,0.2109
548,0.01705
549,0.3697
550,0.05525
551,0.08853
552,0.3161
553,0.173
554,0.193
555,0.06849
556,0.1017
557,0.1654
558,0.4102
559,0.1204
560,0.1144
561,0.08987
562,0.3752
563,0.09516
564,0.4034
565,0.2315
566,0.01316
567,0.1963
568,0.0922
569,0.02306
570,0.03628
571,0.2052
572,0.1415
573,0.00949
574,0.2528
575,0.2821
576,0.04217
577,0.2336
578,0.3052
579,0.07527
580,0.07888
581,0.233
582,0.412
583,0.026
584,0.01401
585,0.02796
586,0.3181
587,0.4084
588,0.06997
589,0.2156
590,0.2289
591,0.0415
592,0.03483
593,0.4737
594,0.235
595,0.04142
596,0.395
597,0.2497
598,0.1484
599,0.06608
600,0.01583
601,0.2503
602,0.09489
603,0.09589
604,0.2452
605,0.1115
606,0.1543
607,0.08661
608,0.1415
609,0.3507
610,0.1739
611,0.09989
612,0.2823
613,0.05481
614,0.02159
615,0.9651
616,0.9398
617,0.6119
618,0.5857
619,0.7661
620,0.7779
621,0.3541
622,0.02745
623,0.3952
624,0.1066
625,0.1533
626,0.07766
627,0.1238
628,0.2081
629,0.06032
630,0.00936
631,0.01332
632,0.2441
633,0.08513
634,0.08811
635,0.1766
636,0.384
637,0.2371
638,0.2184
639,0.0005337
640,0.2838
641,0.4713
642,0.283
643,0.3351
644,0.2076
645,0.4023
646,0.2959
647,0.3619
648,0.02803
649,0.502
650,0.0951
651,0.2712
652,0.03942
653,0.5879
654,0.2184
655,0.2543
656,0.08874
657,0.01173
658,0.334
659,0.07204
660,0.3711
661,0.5674
662,0.3033
663,0.3335
664,0.7227
665,0.2308
666,0.2435
667,0.3808
668,0.289
669,0.03514
670,0.08996
671,0.341
672,0.3871
673,0.1038
674,0.1239
675,0.2266
676,0.2241
677,0.1281
678,0.02306
679,0.324
680,0.2718
681,0.4415
682,0.2937
683,0.1826
684,0.1192
685,0.3524
686,0.04911
687,0.3077
688,0.4176
689,0.2508
690,0.2314
691,0.217
692,0.02487
693,0.3342
694,0.3816
695,0.2937
696,0.04296
697,0.06238
698,0.1383
699,0.1537
700,0.3263
701,0.304
702,0.284
703,0.3536
704,0.05861
705,0.2071
706,0.3963
707,0.002084
708,0.3798
709,0.03495
710,0.3379
711,0.2034
712,0.4632
713,0.05153
714,0.1716
715,0.6047
716,0.1486
717,0.2232
718,0.05072
719,0.175
720,0.2838
721,0.5334
722,0.6279
723,0.2048
724,0.2401
725,0.464
726,0.1327
727,0.1967
728,0.0595
729,0.2334
730,0.1349
731,0.5318
732,0.01736
733,0.2669
734,0.2899
735,0.1239
736,0.06461
737,0.1686
738,0.02028
739,0.01885
740,0.286
741,0.1489
742,0.1421
743,0.4892
744,0.3895
745,0.5156
746,0.4701
747,0.08151
748,0.1376
749,0.1536
750,0.1663
751,0.05377
752,0.02844
753,0.06153
754,0.4941
755,0.3028
756,0.2366
757,0.3779
758,0.271
759,0.1338
760,0.3058
761,0.2224
762,0.09125
763,0.08283
764,0.2031
765,0.2465
766,0.01197
767,0.2137
