MDTU,|det-1|^2,1-Re(det),Im(det)
2,0,0,0
4,0,0,0
6,0,0,0
8,0,0,0
10,0,0,0
12,0,0,0
14,0,0,0
16,0,0,0
18,0,0,0
20,0,0,0
22,0,0,0
24,0,0,0
26,0,0,0
28,0,0,0
30,0,0,0
32,0,0,0
34,0,0,0
36,0,0,0
38,0,0,0
40,0,0,0
42,0,0,0
44,0,0,0
46,0.999987,0.999993,1.93342e-05
48,1,1,2.15172e-07
50,1,1,-8.87823e-08
52,0.999999,1,-3.05103e-07
54,1,1,-1.9098e-07
56,0.999999,1,-6.77676e-08
58,1,1,-3.8118e-08
60,1,1,-1.10325e-07
62,1,1,1.62011e-07
64,1,1,1.06603e-07
66,1,1,1.06603e-07
68,1,1,6.28085e-08
70,1,1,-1.37934e-07
72,1,1,4.00431e-07
74,1,1,7.35041e-08
76,1,1,3.21842e-08
78,0.999999,1,1.83318e-07
80,0.999999,1,1.83318e-07
82,1,1,2.58842e-08
84,1,1,-5.96387e-08
86,1,1,-4.36175e-09
88,1,1,2.36547e-08
90,1,1,4.81429e-07
92,1,1,4.81429e-07
94,0.999999,1,-3.0671e-07
96,1,1,3.95607e-08
98,1,1,-5.63636e-08
100,1,1,2.69823e-08
102,1,1,-2.08279e-07
104,1,1,-2.08279e-07
106,1,1,-3.64578e-08
108,1,1,7.36217e-08
110,1,1,6.17575e-07
112,1,1,-4.59671e-08
114,0.999999,1,-2.38153e-07
116,1,1,1.02261e-07
118,0.999999,0.999999,5.34208e-07
120,1,1,1.20846e-07
122,1,1,8.97683e-09
124,1,1,6.08359e-08
126,1,1,7.38901e-08
128,1,1,7.38901e-08
130,1,1,7.38901e-08
132,1,1,1.90001e-07
134,1,1,1.90001e-07
136,1,1,-1.27562e-08
138,1,1,-7.30294e-08
140,1,1,-1.00889e-07
142,1,1,-4.19919e-08
144,1,1,-2.38395e-08
146,1,1,2.0935e-07
148,1,1,-1.23725e-07
150,1,1,1.0443e-07
152,1,1,-4.85282e-08
154,1,1,-4.85282e-08
156,1,1,8.22395e-08
158,1,1,-1.09774e-07
160,1,1,-1.24626e-07
162,1,1,2.17923e-07
164,1,1,2.17923e-07
166,1,1,2.17923e-07
168,0.999999,1,8.24764e-10
170,1,1,8.28681e-08
172,1,1,-1.49368e-08
174,1,1,-3.05126e-08
176,1,1,-1.30824e-07
178,1,1,-8.21964e-08
180,1,1,-5.79717e-08
182,1,1,-3.97787e-08
184,1,1,2.36725e-09
186,1,1,-5.47764e-09
188,1,1,-5.47764e-09
190,1,1,1.31756e-07
192,1,1,-3.15534e-08
194,1,1,7.08664e-08
196,1,1,4.69963e-08
198,1,1,-6.86992e-08
200,1,1,-1.34571e-07
202,0.999999,1,1.2614e-07
204,1,1,8.19076e-08
206,1,1,1.45269e-07
208,1,1,-3.19387e-08
210,1,1,-2.37897e-08
212,1,1,-2.37897e-08
214,1,1,5.82586e-09
216,1,1,-5.44138e-08
218,1,1,-5.44138e-08
220,1,1,-5.44138e-08
222,1,1,-2.21944e-08
224,1,1,-8.60608e-08
226,1,1,1.55537e-07
228,1,1,1.55537e-07
230,1,1,1.55537e-07
232,1,1,1.55537e-07
234,1,1,-6.94286e-09
236,1,1,1.30576e-07
238,1,1,1.30576e-07
240,1,1,-8.65376e-08
242,1,1,-5.75155e-08
244,1,1,2.51826e-08
246,1,1,-3.86648e-07
248,1,1,-6.52152e-07
250,1,1,-6.52152e-07
252,1,1,1.41073e-07
254,1,1,-1.19223e-09
256,1,1,8.97591e-08
258,1,1,1.57099e-07
260,1,1,4.95752e-08
262,1,1,-2.45419e-08
264,0.999999,1,2.22989e-09
266,1,1,-1.22351e-07
268,1,1,-1.61875e-07
270,1,1,-1.55848e-07
272,1,1,-1.19867e-07
274,1,1,-2.12433e-07
276,1,1,-3.99381e-07
278,1,1,-1.7163e-07
280,1,1,-6.05474e-08
282,1,1,-6.05474e-08
284,0.999999,1,1.36687e-07
286,1,1,3.52861e-08
288,1,1,5.44215e-08
290,1,1,7.03855e-08
292,1,1,5.52369e-07
294,1,1,1.72905e-07
296,1,1,-7.73466e-08
298,1,1,-4.95577e-09
300,1,1,4.52857e-08
302,1,1,-1.2492e-07
304,1,1,-1.29828e-07
306,0.999999,1,2.98741e-07
308,1,1,2.53671e-07
310,1,1,-3.78961e-07
312,1,1,1.77122e-07
314,1,1,1.77122e-07
316,1,1,-8.23087e-07
318,1,1,-8.23087e-07
320,1,1,-3.57588e-07
322,1,1,2.51213e-07
324,1,1,1.24394e-08
326,1,1,1.24394e-08
328,1,1,-1.80859e-07
330,1,1,1.07976e-07
332,0.999999,1,1.85452e-07
334,0.999999,1,1.85452e-07
336,1,1,-1.10741e-07
338,1,1,7.33767e-09
340,1,1,-6.90594e-08
342,1,1,-1.97833e-07
344,1,1,2.40123e-09
346,1,1,1.21766e-07
348,1,1,-6.34378e-09
350,1,1,4.3115e-07
352,1,1,8.16667e-08
354,1,1,-1.33973e-07
356,1,1,-2.53804e-06
358,1,1,-2.53804e-06
360,1,1,1.41564e-08
362,1,1,-6.13397e-09
364,1,1,5.76034e-08
366,1,1,8.93001e-08
368,1,1,-1.76115e-07
370,1,1,-9.93382e-08
372,1,1,2.48381e-07
374,0.999999,1,8.54415e-07
376,1,1,3.76813e-08
378,1,1,3.76813e-08
380,0.999999,1,1.76247e-07
382,1,1,2.58827e-07
384,1,1,2.58827e-07
386,0.999999,1,1.96671e-07
388,1,1,-8.08907e-09
390,1,1,5.90902e-08
392,1,1,-1.79362e-08
394,1,1,5.72205e-08
396,1,1,-9.2946e-07
398,1,1,1.49171e-07
400,1,1,9.22273e-07
402,1,1,-3.41111e-09
404,1,1,-2.46399e-07
406,1,1,-8.89487e-08
408,1,1,2.99087e-07
410,1,1,2.23986e-08
412,1,1,-1.24886e-07
414,1,1,3.82579e-08
416,1,1,-3.29757e-07
418,1,1,-6.70023e-09
420,1,1,-1.64592e-07
422,1,1,4.05265e-08
424,1,1,1.09922e-07
426,1,1,1.09922e-07
428,1,1,-1.39646e-07
430,1,1,1.21702e-07
432,1,1,6.57776e-07
434,1,1,-4.10198e-07
436,1,1,-2.95451e-07
