MDTU,energy
2,192
4,192
6,192
8,192
10,192
12,192
14,192
16,192
18,192
20,192
22,192
24,192
26,192
28,192
30,192
32,192
34,192
36,192
38,192
40,192
42,192
44,192
46,29.6542
48,73.2919
50,104.491
52,92.8299
54,96.5645
56,83.0361
58,71.8008
60,95.4803
62,69.7074
64,62.8695
66,62.8695
68,77.9383
70,72.1145
72,90.1568
74,89.7402
76,91.4578
78,86.1697
80,86.1697
82,106.155
84,91.0883
86,91.7485
88,74.7093
90,78.7922
92,78.7922
94,96.4662
96,90.0419
98,89.3883
100,85.8356
102,88.4254
104,88.4254
106,67.4716
108,107.788
110,89.5687
112,99.8075
114,83.186
116,84.4631
118,83.1724
120,80.6287
122,78.8425
124,93.051
126,92.042
128,92.042
130,92.042
132,79.3605
134,79.3605
136,79.0807
138,80.3443
140,91.2745
142,103.259
144,130.858
146,104.922
148,118.441
150,76.921
152,87.7707
154,87.7707
156,87.2348
158,102.546
160,92.9012
162,87.2367
164,87.2367
166,87.2367
168,79.4361
170,95.3473
172,91.0554
174,108.06
176,78.1048
178,100.232
180,103.607
182,72.7511
184,98.9905
186,49.2568
188,49.2568
190,89.5563
192,92.7567
194,93.4274
196,118.914
198,107.489
200,102.099
202,63.6071
204,93.6402
206,84.384
208,87.9802
210,85.192
212,85.192
214,90.1533
216,85.277
218,85.277
220,85.277
222,97.0529
224,83.9458
226,82.4581
228,82.4581
230,82.4581
232,82.4581
234,95.5825
236,109.667
238,109.667
240,88.1371
242,105.165
244,108.82
246,65.952
248,109.945
250,109.945
252,106.213
254,101.84
256,87.3963
258,88.5695
260,96.5352
262,90.2123
264,94.6136
266,84.4368
268,94.1124
270,96.0052
272,72.28
274,93.2918
276,94.139
278,100.928
280,107.301
282,107.301
284,84.8968
286,106.105
288,104.04
290,93.744
292,96.4072
294,88.9873
296,97.0207
298,107.089
300,105.637
302,106.707
304,91.6831
306,58.7515
308,77.6456
310,67.1229
312,80.1214
314,80.1214
316,77.1015
318,77.1015
320,90.4127
322,87.7708
324,89.8293
326,89.8293
328,80.3223
330,74.2049
332,76.6966
334,76.6966
336,76.105
338,104.481
340,104.556
342,92.4958
344,100.169
346,72.6558
348,86.6375
350,84.6798
352,92.7512
354,84.3952
356,99.2148
358,99.2148
360,108.777
362,97.9015
364,87.7447
366,66.1859
368,89.6436
370,91.6706
372,82.6664
374,86.199
376,86.2918
378,86.2918
380,65.3162
382,92.4597
384,92.4597
386,95.4757
388,87.7361
390,83.0254
392,84.7097
394,79.6872
396,76.0839
398,75.6486
400,95.1913
402,81.9649
404,88.9251
406,95.5381
408,80.5585
410,77.9211
412,102.703
414,109.913
416,75.7875
418,70.9464
420,43.315
422,104.878
424,107.691
426,107.691
428,90.5784
430,87.7105
432,71.7983
434,74.1263
436,91.1052
438,96.1093
440,100.092
442,97.5538
444,86.9282
446,100.912
448,111.046
450,115.493
452,101.588
454,84.6231
456,99.5649
458,65.3391
460,65.3391
462,59.7829
464,82.7614
466,90.4601
468,70.6889
470,109.054
472,109.054
474,109.415
476,78.0775
478,83.5346
480,103.686
482,112.145
484,113.663
486,96.2389
488,87.4448
490,68.2907
492,91.3557
494,96.1046
496,86.2581
498,106.884
500,71.2771
502,82.6095
504,111.404
506,92.2549
508,87.8948
510,94.1555
512,89.3244
514,89.3244
516,105.063
518,98.4596
520,82.7378
522,95.0063
524,109.19
526,83.4365
528,83.9089
530,68.0071
532,84.4591
534,93.1636
536,87.8345
538,110.373
540,98.3795
542,104.913
544,102.747
546,82.0647
548,107.617
550,105.996
552,84.5782
554,72.43
556,64.7753
558,75.7069
560,27.2245
562,27.2245
564,27.2245
566,48.7488
568,48.7488
570,48.7488
572,97.0732
574,68.0616
576,86.6847
578,88.6941
580,92.1356
582,93.008
584,75.4069
586,109.513
588,81.0782
590,93.9491
592,93.9491
594,72.8785
596,97.8519
598,89.4787
600,83.7692
602,75.9229
604,101.385
606,77.5611
608,103.235
610,79.6895
612,69.8527
614,96.2202
616,93.7649
618,113.495
620,99.737
622,100.224
624,78.0366
626,101.479
628,91.1231
630,87.7996
632,99.8141
634,91.6708
636,109.27
638,80.4647
640,87.9986
642,92.19
644,103.032
646,99.2571
648,93.6926
650,96.5444
652,89.107
654,66.8185
656,82.7072
658,82.9272
660,76.8941
662,103.023
664,93.8852
666,92.2511
668,93.1179
670,88.9904
672,100.93
674,97.9366
676,104.803
678,77.2898
680,82.3013
682,82.3013
684,82.3013
686,104.702
688,87.0489
690,79.3956
692,102.801
694,89.8421
696,97.6446
698,99.3239
700,100.381
702,92.276
704,94.2697
706,97.1916
708,110.601
710,108.753
712,91.9195
714,104.984
716,79.6224
718,92.7715
720,77.667
722,102.158
724,83.5421
726,107.941
728,100.039
730,101.385
732,104.134
734,104.134
736,115.753
738,87.3239
740,93.8092
742,81.3117
744,81.3117
746,87.1861
748,92.7557
750,94.4367
752,105.413
754,86.5149
756,76.6675
758,76.6675
760,95.0742
762,80.9733
764,103.796
766,83.6395
768,99.312
770,113.869
772,100.242
774,93.5501
776,93.4436
778,93.4436
780,83.658
782,86.9787
784,64.0683
786,64.0683
788,64.0683
790,64.0683
792,64.0683
794,64.0683
796,95.2646
798,78.5433
800,78.5433
802,82.7717
804,69.6787
806,98.8821
808,59.9528
810,101.585
812,96.7864
814,93.2095
816,66.9105
818,105.44
820,100.464
822,89.9338
824,89.9338
826,76.587
828,74.2902
830,69.933
832,105.041
834,108.925
836,80.0466
838,96.8699
840,101.543
842,91.4426
844,88.7298
846,88.5194
848,59.5567
850,82.1319
852,106.46
854,103.722
856,72.651
858,88.6043
860,75.4452
862,97.8838
864,97.8838
866,56.8082
868,67.4451
870,90.2464
872,53.1795
874,86.6818
876,83.2046
878,67.4988
880,95.1533
882,95.1533
884,95.1533
886,95.1533
888,104.979
890,102.814
892,108.324
894,87.2729
896,74.5774
898,80.6526
900,102.963
902,102.963
904,82.9896
906,82.9896
908,82.9896
910,82.9896
912,82.9896
914,82.9896
916,82.9896
918,100.352
920,101.807
922,78.57
924,103.762
926,101.096
928,99.8585
930,108.365
932,95.9454
934,79.5978
936,98.2897
938,102.198
940,86.4149
942,99.6759
944,83.1485
946,105.421
948,86.8044
950,75.9321
952,109.637
954,66.122
956,97.4672
958,101.998
960,106.592
962,82.186
964,87.0285
966,97.0246
968,101.592
970,62.987
972,62.987
974,85.3672
976,83.7606
978,81.8262
980,83.4608
982,108.737
984,92.8891
986,86.304
988,88.317
990,92.0737
992,92.0514
994,99.5049
996,105.071
998,93.1973
1000,76.271
1002,71.6575
1004,83.9274
1006,83.8792
1008,97.2929
1010,99.9798
1012,101.414
1014,102.744
1016,102.744
1018,97.6057
1020,86.1469
1022,91.3638
1024,96.8601
1026,48.9387
1028,48.9387
1030,85.662
1032,93.8525
1034,93.8525
1036,101.401
1038,92.6176
1040,87.4167
1042,105.383
1044,65.5275
1046,70.0007
1048,70.0007
1050,99.1249
1052,101.99
1054,91.6133
1056,84.2254
1058,84.2254
1060,84.2254
1062,84.2254
1064,84.2254
1066,84.2254
1068,84.2254
1070,84.2254
1072,84.2254
1074,84.2254
1076,84.2254
1078,74.9751
1080,85.0886
1082,85.0886
1084,85.0886
1086,93.5003
1088,96.7693
1090,84.3603
1092,85.8367
1094,91.1596
1096,88.6748
1098,80.3714
1100,101.755
1102,79.767
1104,106.165
1106,92.7598
1108,82.822
1110,92.586
1112,92.586
1114,98.494
1116,90.5316
1118,92.9515
1120,85.4768
1122,84.9197
1124,75.1394
1126,105.022
1128,76.842
1130,76.842
1132,76.2648
1134,77.7207
1136,99.6041
1138,82.2815
1140,106.495
1142,89.7322
1144,78.443
1146,65.6534
1148,90.7215
1150,69.0275
1152,79.7548
1154,79.7548
1156,90.1687
1158,109.463
1160,95.0109
1162,104.593
1164,89.1829
1166,85.3335
1168,105.135
1170,87.1683
1172,82.5853
1174,99.2463
1176,94.6657
1178,94.6657
1180,89.9877
1182,100.06
1184,96.3494
1186,90.8598
1188,90.8598
1190,78.9184
1192,117.296
1194,107.414
1196,96.2751
1198,81.6902
1200,90.7157
1202,90.7157
1204,85.3816
1206,85.3816
1208,82.8955
1210,102.025
1212,91.6743
1214,98.63
1216,98.63
1218,109.996
1220,93.289
1222,102.659
1224,109.614
1226,129.227
1228,107.177
1230,49.3047
1232,49.3047
1234,49.3047
1236,49.3047
1238,49.3047
1240,49.3047
1242,83.6616
1244,98.1686
1246,98.1686
1248,59.4773
1250,88.2572
