t,e^(-dS)
1,7.77319e-08
2,5.20139e-05
3,4.27997e-17
4,5.06067e-47
5,5.87366e-35
6,6.23813e-08
7,2.56521e-24
8,0.0315873
9,2.30004e-05
10,4.17075e-07
11,1.84131e-35
12,6.2726e-14
13,1.89249e-34
14,1.03453e-17
15,3.16616e-59
16,2.15009e-06
17,2.43679e-08
18,1.72162e-09
19,0.000403231
20,4.55795e-22
21,2.18935e-13
22,9.02319e-27
23,3.6693
24,1.10805
25,0.794613
26,0.776779
27,1.2591
28,0.875027
29,1.10827
30,1.47035
31,1.63003
32,0.732348
33,0.749612
34,0.618536
35,0.828449
36,0.795408
37,1.09865
38,0.946703
39,1.05268
40,0.873978
41,1.13394
42,1.10278
43,0.714123
44,1.38403
45,1.0114
46,0.683246
47,1.25847
48,0.75942
49,0.933934
50,1.12446
51,0.970678
52,0.81481
53,1.25558
54,0.967142
55,0.937161
56,0.545801
57,1.61915
58,0.858473
59,0.902488
60,1.52044
61,1.31956
62,0.969359
63,0.811395
64,0.668178
65,0.592977
66,1.68809
67,0.823329
68,0.54673
69,0.870402
70,1.07206
71,0.834185
72,0.750887
73,1.48335
74,0.848912
75,1.64707
76,0.938821
77,0.77005
78,1.31246
79,0.638075
80,0.995939
81,1.52074
82,0.855474
83,0.713267
84,1.33456
85,0.681745
86,0.760104
87,1.38874
88,0.890475
89,0.935803
90,0.791758
91,1.44354
92,0.920986
93,1.46112
94,0.620084
95,1.27367
96,0.707654
97,0.666377
98,0.841558
99,1.17128
100,1.15708
101,1.15592
102,1.34743
103,0.822835
104,1.02533
105,0.845523
106,0.756011
107,1.30395
108,1.3473
109,0.608596
110,0.713552
111,0.718205
112,1.17093
113,1.44817
114,0.527292
115,0.702437
116,0.54969
117,0.986167
118,0.659087
119,0.894313
120,1.11293
121,1.01699
122,1.07653
123,1.10178
124,0.861225
125,0.839961
126,0.937358
127,0.908137
128,1.04227
129,1.32472
130,1.20961
131,1.19973
132,0.526449
133,1.09737
134,0.974442
135,1.08594
136,1.25973
137,0.838618
138,0.88338
139,0.975476
140,1.28467
141,0.93259
142,1.00135
143,0.639736
144,0.902488
145,1.00049
146,1.08797
147,0.896282
148,1.27711
149,1.02951
150,0.798995
151,1.22912
152,0.741485
153,0.934027
154,1.04393
155,1.2462
156,1.11349
157,0.789544
158,0.923633
159,0.875378
160,0.68901
161,1.07088
162,1.14557
163,0.794613
164,0.984895
165,1.02629
166,1.78479
167,0.613669
168,0.804769
169,0.650769
170,1.39738
171,1.21422
172,0.640568
173,1.01208
174,0.976159
175,1.0518
176,1.19734
177,0.912133
178,0.914306
179,0.733447
180,0.935354
181,1.25245
182,1.00811
183,1.09391
184,0.700333
185,1.2072
186,1.55457
187,1.22446
188,0.745426
189,0.64423
190,0.953153
191,1.68068
192,0.617547
193,0.716627
194,1.16056
195,1.10044
196,0.967103
197,0.803322
198,0.914452
199,1.2537
200,0.703421
201,1.36916
202,1.48929
203,0.587488
204,1.20732
205,1.3101
206,0.804125
207,0.985595
208,1.13803
209,1.30996
210,0.834853
211,1.04524
212,1.52791
213,0.497928
214,0.886566
215,0.721444
216,1.11293
217,1.10827
218,0.599715
219,1.16929
220,0.945076
221,0.963782
222,1.13077
223,1.23999
224,0.868924
225,1.08355
226,0.728841
227,1.1922
228,1.3164
229,1.11305
230,0.579494
231,1.27788
232,0.723757
233,1.07745
234,0.970591
235,0.786628
236,0.805655
237,1.21811
238,0.957241
239,1.01723
240,0.716985
241,1.0902
242,1.06498
243,1.15893
244,0.728039
245,1.23355
246,1.26579
247,0.704547
248,0.971038
249,1.23023
250,1.27928
251,0.710419
252,1.5798
253,0.954202
254,1.12614
255,0.612626
256,1.19494
257,0.727821
258,1.62515
259,0.672805
260,0.857358
261,0.808965
262,1.00687
263,1.06766
264,0.957825
