t,G,F1,F2,F3
1,0.7415,0,null,null
2,0.7743,0,null,null
3,0.7515,0,null,null
4,0.7044,0,null,null
5,0.7847,0,null,null
6,0.74,0,null,null
7,0.7548,0,null,null
8,0.7336,0,null,null
9,0.6907,0,null,null
10,0.6742,0,null,null
11,0.7157,0,null,null
12,0.7947,0,null,null
13,0.7021,0,null,null
14,0.722,0,null,null
15,0.7023,0,null,null
16,0.7195,0,null,null
17,0.6796,0,null,null
18,0.7271,0,null,null
19,0.6532,0,null,null
20,0.7195,0,null,null
21,0.7125,0,null,null
22,0.7605,0,null,null
23,0.7152,0,null,null
24,0.4823,0,null,null
25,0.5249,0,null,null
26,0.4905,0,null,null
27,0.5,0,null,null
28,0.5096,0,null,null
29,0.5371,0,null,null
30,0.54,0,null,null
31,0.5833,0,null,null
32,0.5443,0,null,null
33,0.5905,0,null,null
34,0.5668,0,null,null
35,0.5376,0,null,null
36,0.5331,0,null,null
37,0.5497,0,null,null
38,0.5309,0,null,null
39,0.5581,0,null,null
40,0.5296,0,null,null
41,0.5322,0,null,null
42,0.5601,0,null,null
43,0.5549,0,null,null
44,0.5289,0,null,null
45,0.5858,0,null,null
46,0.5305,0,null,null
47,0.5806,0,null,null
48,0.5635,0,null,null
49,0.5558,0,null,null
50,0.5318,0,null,null
51,0.5471,0,null,null
52,0.555,0,null,null
53,0.5941,0,null,null
54,0.5737,0,null,null
55,0.5308,0,null,null
56,0.5021,0,null,null
57,0.5185,0,null,null
58,0.5022,0,null,null
59,0.5554,0,null,null
60,0.5264,0,null,null
61,0.5886,0,null,null
62,0.5507,0,null,null
63,0.5671,0,null,null
64,0.5402,0,null,null
65,0.5239,0,null,null
66,0.5524,0,null,null
67,0.6032,0,null,null
68,0.5444,0,null,null
69,0.5577,0,null,null
70,0.5718,0,null,null
71,0.5406,0,null,null
72,0.5299,0,null,null
73,0.5085,0,null,null
74,0.5004,0,null,null
75,0.5375,0,null,null
76,0.5826,0,null,null
77,0.5443,0,null,null
78,0.5708,0,null,null
