ReTr(Lx),ImTr(Lx)
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0.000182304,-0.00257936
-0.000824455,0.000151496
0.000163018,-2.05765e-05
-0.0001354,0.00142894
0.000920185,-0.000128982
-0.000133066,-0.000222832
-0.000151287,-0.000123587
0.0003741,0.00060007
0.000421136,-0.000186005
-0.00021329,-0.000271328
-0.00021329,-0.000271328
0.000183376,0.000196636
0.000372199,-0.000227474
-9.17585e-05,-1.40288e-05
-0.000217105,0.001229
-0.000568975,0.000100956
-0.000578645,0.00132405
-0.000578645,0.00132405
0.000126657,6.96995e-05
0.000430833,0.000209062
0.00028285,0.000146807
0.000510415,0.000932975
0.000473546,-1.81346e-05
0.000473546,-1.81346e-05
-0.00142509,6.8829e-05
4.45743e-05,-0.00063521
0.000386527,0.00075772
-9.0855e-05,-0.000228787
0.000192631,0.000321828
0.000192631,0.000321828
-0.000337293,-0.000124018
4.0081e-05,0.00015215
-0.0008774,0.000556995
-0.000351107,-4.94298e-06
-0.000409517,-0.000147652
-0.000173954,0.00108202
0.00043904,0.000485995
-0.000458183,-1.47881e-05
0.000309382,-0.000240806
0.000148325,-0.00156393
4.08143e-05,-0.000414749
4.08143e-05,-0.000414749
4.08143e-05,-0.000414749
-0.000252784,0.00019566
-0.000252784,0.00019566
-0.000354641,0.000264919
0.00019977,0.000417794
0.000522405,-0.00012132
-0.000363217,-0.00024312
-0.000188833,0.000185065
6.5516e-05,-0.00160063
0.000355861,0.000227863
-0.00036084,0.000689135
-7.5226e-05,-0.00022737
-7.5226e-05,-0.00022737
0.000232648,0.00025428
-0.000665965,-0.000170649
-0.000272413,-0.00020025
0.000726295,-0.00087924
0.000726295,-0.00087924
0.000726295,-0.00087924
-0.000109943,0.00010255
0.000710425,0.00051398
-0.000326138,-0.000343522
0.000325735,0.000133973
0.000124622,-0.00071394
0.000345256,0.000160403
-0.000378024,-0.00063039
8.74815e-05,0.0005076
0.00054713,-0.000265643
0.00122352,-0.00074682
0.00122352,-0.00074682
-0.000117037,0.000472013
0.000233909,-0.000317646
0.000475758,4.36314e-05
-0.000174958,0.000286029
0.000100531,0.000213455
0.000325687,0.000367339
-0.00074115,0.000393564
0.000453806,-0.000432104
0.000433108,-0.000176463
0.000223457,5.0537e-05
-0.000132811,0.000249368
-0.000132811,0.000249368
4.03226e-05,0.000198559
5.6508e-05,-0.000278579
5.6508e-05,-0.000278579
5.6508e-05,-0.000278579
0.00096476,-2.36924e-05
-0.000105987,-0.000106785
-0.000366395,-9.29395e-06
-0.000366395,-9.29395e-06
-0.000366395,-9.29395e-06
-0.000366395,-9.29395e-06
0.000492603,-0.000555085
-0.000273354,0.000107755
-0.000273354,0.000107755
-0.00100859,0.000983985
0.000446364,-0.000198406
0.000224726,0.000349013
3.48051e-05,2.72466e-05
0.000181063,-0.000285413
0.000181063,-0.000285413
-0.00031934,0.000875245
0.00055859,0.000280187
0.000477208,0.000208804
0.000225374,-0.000188465
-0.00050304,0.000374673
7.218e-05,-5.44825e-06
0.00050558,-0.00088613
0.000336718,0.000165949
0.000252568,9.3444e-05
0.000703235,-0.000574195
-0.00056884,-4.25549e-05
-0.000284593,0.000478503
-6.8223e-05,-0.000190771
-0.000289072,0.000311874
0.000506545,0.000295872
0.000506545,0.000295872
-0.000140073,0.00085256
-0.000419243,-0.000193183
0.000184078,8.89405e-05
0.000561875,-0.000327844
-9.2679e-05,-0.00152099
-7.3569e-05,-0.000216997
-5.7553e-05,5.18175e-05
8.13805e-05,-0.000228119
-0.000483637,0.000450519
0.000352457,-0.00052496
-0.000366862,1.77981e-05
-0.00103714,-0.000876965
-3.47978e-07,-0.00067572
-0.00315865,-0.000428067
0.000607315,0.000576255
0.000607315,0.000576255
-0.0007344,0.000638205
-0.0007344,0.000638205
-0.000266767,-0.000305354
