MDTU,|Tr(Lx)|
2,1
4,1
6,1
8,1
10,1
12,1
14,1
16,1
18,1
20,1
22,1
24,1
26,1
28,1
30,1
32,1
34,1
36,1
38,1
40,1
42,1
44,1
46,0.00258579
48,0.000838258
50,0.000164311
52,0.00143534
54,0.000929181
56,0.000259539
58,0.00019535
60,0.000707132
62,0.000460384
64,0.000345125
66,0.000345125
68,0.000268873
70,0.000436207
72,9.28247e-05
74,0.00124803
76,0.000577862
78,0.00144497
80,0.00144497
82,0.000144569
84,0.000478878
86,0.000318679
88,0.00106347
90,0.000473893
92,0.000473893
94,0.00142675
96,0.000636772
98,0.000850613
100,0.000246167
102,0.000375073
104,0.000375073
106,0.00035937
108,0.000157341
110,0.00103927
112,0.000351142
114,0.000435322
116,0.00109591
118,0.000654941
120,0.000458421
122,0.000392052
124,0.00157094
126,0.000416752
128,0.000416752
130,0.000416752
132,0.000319661
134,0.000319661
136,0.000442665
138,0.000463097
140,0.000536307
142,0.000437074
144,0.0002644
146,0.00160198
148,0.000422562
150,0.00077789
152,0.000239492
154,0.000239492
156,0.000344649
158,0.000687481
160,0.000338096
162,0.00114042
164,0.00114042
166,0.00114042
168,0.000150346
170,0.000876858
172,0.00047368
174,0.00035221
176,0.000724735
178,0.000380698
180,0.000735047
182,0.000515083
184,0.000608208
186,0.00143343
188,0.00143343
190,0.000486306
192,0.000394478
194,0.000477755
196,0.000335295
198,0.000235944
200,0.000490927
202,0.000839164
204,0.000626621
206,0.000467677
208,0.0002291
210,0.00028253
212,0.00028253
214,0.000202612
216,0.000284252
218,0.000284252
220,0.000284252
222,0.000965051
224,0.000150454
226,0.000366513
228,0.000366513
230,0.000366513
232,0.000366513
234,0.000742143
236,0.000293826
238,0.000293826
240,0.00140907
242,0.000488473
244,0.000415104
246,4.42015e-05
248,0.000338001
250,0.000338001
252,0.000931682
254,0.000624922
256,0.00052089
258,0.00029379
260,0.000627239
262,7.23853e-05
264,0.00102021
266,0.00037539
268,0.0002693
270,0.000907876
272,0.00057043
274,0.000556739
276,0.000202603
278,0.000425239
280,0.000586625
282,0.000586625
284,0.00086399
286,0.00046161
288,0.000204439
290,0.000650527
292,0.00152381
294,0.000229129
296,7.74429e-05
298,0.0002422
300,0.000660963
302,0.000632304
304,0.000367294
306,0.00135821
308,0.00067572
310,0.00318753
312,0.000837199
314,0.000837199
316,0.000972959
318,0.000972959
320,0.00040547
322,0.0013748
324,0.000613352
326,0.000613352
328,0.00058266
330,0.000509708
332,0.00123631
334,0.00123631
336,0.000188679
338,0.000397138
340,0.000196657
342,0.000150427
344,0.000402517
346,0.000155503
348,0.00137318
350,0.000341849
352,0.000351857
354,0.000129289
356,0.00032868
358,0.00032868
360,0.000599591
362,0.000161103
364,0.000804874
366,0.000732603
368,0.00041356
370,0.000535186
372,0.000719217
374,0.000630626
376,0.000239387
378,0.000239387
380,0.000665353
382,0.000645778
384,0.000645778
386,0.000202715
388,0.000548998
390,0.0006054
392,0.000880248
394,0.000804932
396,0.000860937
398,0.000659626
400,0.00142458
402,0.000372504
404,0.0004524
406,0.000511876
408,0.000260964
410,0.000338973
412,0.000482392
414,0.000206953
416,0.000889341
418,0.000589571
420,0.0006507
422,0.000158746
424,0.000246764
426,0.000246764
428,0.000306037
430,0.000649457
432,0.000493414
434,0.000717801
436,0.00072689
438,0.00131781
440,0.000371876
442,0.000697161
444,0.000173698
446,0.00029726
448,0.000202858
450,0.000291597
452,0.000736786
454,0.000685073
456,0.000498012
458,0.00108048
460,0.00108048
462,0.000551555
464,0.000234185
466,0.000227353
468,0.0002006
470,0.00015371
472,0.00015371
474,0.0002603
476,0.000742067
478,0.000124296
480,0.000183352
482,0.000309575
484,0.000304419
486,0.00057119
488,0.000323769
490,0.000204331
492,0.000619323
494,0.000378102
496,0.000136527
498,0.000673584
500,0.000778378
502,0.00021583
504,0.000328887
506,0.000369181
508,0.000277737
510,0.000751685
512,0.000729121
514,0.000729121
516,0.000294976
518,0.000437633
520,0.000628843
522,0.000287379
524,5.40186e-05
526,0.000906129
528,0.0004735
530,0.00220593
532,0.000133311
534,0.000283802
536,3.13667e-05
538,0.000288637
540,0.0004176
542,0.000339437
544,0.000412562
546,0.000776845
548,0.000537273
550,0.000363606
552,0.00117096
554,0.000441828
556,0.000580107
558,0.000297288
560,0.00163606
562,0.00163606
564,0.00163606
566,0.000752442
568,0.000752442
570,0.000752442
572,0.00036159
574,0.00208762
576,0.000468986
578,0.000387372
580,0.00060322
582,0.000171238
584,0.00165442
586,0.000119271
588,0.000609228
590,0.000404953
592,0.000404953
594,0.000501677
596,0.000178747
598,0.000516621
600,8.11421e-05
602,0.000580777
604,0.000239278
606,0.000957893
608,0.000142592
610,0.000607355
612,0.00164028
614,0.000731743
616,0.000517834
618,0.000320771
620,0.000195395
622,0.000107303
624,0.000117825
626,0.000172489
628,0.000490237
630,0.00067463
632,0.000391091
