MDTU,|Tr(Lx)|
2,1,1,1,1
4,1,1,1,1
6,1,1,1,1
8,1,1,1,1
10,1,1,1,1
12,1,1,1,1
14,1,1,1,1
16,1,1,1,1
18,1,1,1,1
20,1,1,1,1
22,1,1,1,1
24,1,1,1,1
26,1,1,1,1
28,1,1,1,1
30,1,1,1,1
32,1,1,1,1
34,1,1,1,1
36,1,1,1,1
38,1,1,1,1
40,1,1,1,1
42,1,1,1,1
44,1,1,1,1
46,0.383384
48,0.312113
50,0.183029
52,0.20172
54,0.463254
56,0.124021
58,0.0351464
60,0.21227
62,0.322471
64,0.386626
66,0.386626
68,0.211207
70,0.170536
72,0.123756
74,0.286025
76,0.203687
78,0.484485
80,0.484485
82,0.285728
84,0.346136
86,0.182089
88,0.193765
90,0.185491
92,0.185491
94,0.0902289
96,0.159648
98,0.162949
100,0.151163
102,0.151792
104,0.151792
106,0.340225
108,0.189436
110,0.324051
112,0.276441
114,0.140127
116,0.230864
118,0.193709
120,0.233199
122,0.313755
124,0.292228
126,0.0671375
128,0.0671375
130,0.0671375
132,0.154966
134,0.154966
136,0.200963
138,0.112346
140,0.345943
142,0.129231
144,0.132727
146,0.26148
148,0.135779
150,0.285856
152,0.216346
154,0.216346
156,0.316128
158,0.241362
160,0.0925204
162,0.122366
164,0.122366
166,0.122366
168,0.353614
170,0.183532
172,0.278049
174,0.168641
176,0.568692
178,0.0817822
180,0.199974
182,0.253033
184,0.0784082
186,0.14535
188,0.14535
190,0.279794
192,0.263582
194,0.162107
196,0.364614
198,0.0497536
200,0.31987
202,0.408972
204,0.294884
206,0.205146
208,0.133949
210,0.0671065
212,0.0671065
214,0.323566
216,0.363092
218,0.363092
220,0.363092
222,0.687969
224,0.0692684
226,0.283673
228,0.283673
230,0.283673
232,0.283673
234,0.144178
236,0.254959
238,0.254959
240,0.2987
242,0.226994
244,0.120639
246,0.258415
248,0.248261
250,0.248261
252,0.17058
254,0.100797
256,0.144198
258,0.245226
260,0.178869
262,0.410517
264,0.293001
266,0.182796
268,0.149432
270,0.556523
272,0.176572
274,0.154804
276,0.362812
278,0.15012
280,0.400691
282,0.400691
284,0.49881
286,0.192286
288,0.417823
290,0.16389
292,0.402114
294,0.195183
296,0.242962
298,0.21708
300,0.341404
302,0.201112
304,0.18254
306,0.566238
308,0.216729
310,0.29919
312,0.454846
314,0.454846
316,0.249436
318,0.249436
320,0.239735
322,0.281848
324,0.0875086
326,0.0875086
328,0.193374
330,0.302436
332,0.122315
334,0.122315
336,0.149319
338,0.374461
340,0.164803
342,0.253377
344,0.131349
346,0.330759
348,0.377769
350,0.0990652
352,0.21403
354,0.24824
356,0.310261
358,0.310261
360,0.127822
362,0.260558
364,0.29656
366,0.501545
368,0.343945
370,0.221582
372,0.268516
374,0.527195
376,0.291016
378,0.291016
380,0.266604
382,0.478284
384,0.478284
386,0.0487956
388,0.0753711
390,0.0416191
392,0.251611
394,0.123772
396,0.317278
398,0.0907071
400,0.115171
402,0.313642
404,0.21721
406,0.209216
408,0.227786
410,0.416567
412,0.198005
414,0.227146
416,0.23284
418,0.0475659
420,0.259134
422,0.309918
424,0.050971
426,0.050971
428,0.182168
430,0.107233
432,0.0367834
434,0.291438
436,0.490214
438,0.523233
440,0.095772
442,0.103381
444,0.425031
446,0.287308
448,0.0362158
450,0.217905
452,0.133436
454,0.259262
456,0.393396
458,0.393713
460,0.393713
462,0.160701
464,0.411829
466,0.172771
468,0.092817
470,0.0278839
472,0.0278839
474,0.0270443
476,0.254647
478,0.0534727
480,0.113892
482,0.276441
484,0.340475
486,0.195794
488,0.221768
490,0.121062
492,0.480781
494,0.0504396
496,0.269376
498,0.390407
500,0.0752706
502,0.0609441
504,0.234178
506,0.0438507
508,0.131712
510,0.399135
512,0.446319
514,0.446319
516,0.219396
518,0.310233
520,0.363725
522,0.261669
524,0.126079
526,0.342417
528,0.124235
530,0.0726724
532,0.14432
534,0.138309
536,0.372
538,0.184825
540,0.251586
542,0.278392
544,0.0910325
546,0.159341
548,0.0313187
550,0.166297
552,0.276751
554,0.215426
556,0.493663
558,0.28433
560,0.154716
562,0.154716
564,0.154716
566,0.176669
568,0.176669
570,0.176669
572,0.0848495
574,0.102022
576,0.142809
578,0.237202
580,0.257561
582,0.210822
584,0.297173
586,0.0740307
588,0.0796548
590,0.248259
592,0.248259
594,0.28289
596,0.113503
598,0.132875
600,0.131653
602,0.0986845
604,0.0970732
606,0.0708836
608,0.0243991
610,0.0283509
612,0.472614
614,0.0573917
616,0.0354757
618,0.0925675
620,0.105292
622,0.23503
624,0.0304649
626,0.152555
628,0.258435
630,0.112936
632,0.334525
634,0.252865
636,0.119993
638,0.468214
640,0.243814
642,0.3073
644,0.175473
646,0.175508
648,0.123691
650,0.272249
652,0.366551
654,0.100338
656,0.101473
658,0.399115
660,0.322861
662,0.404151
664,0.17361
666,0.246339
668,0.220337
670,0.216934
672,0.567413
674,0.192361
676,0.0600579
678,0.0841705
680,0.405955
682,0.405955
684,0.405955
686,0.206795
688,0.36407
690,0.176413
692,0.269582
694,0.0964238
696,0.125453
698,0.139035
700,0.299014
702,0.249703
704,0.283937
706,0.120083
708,0.175979
710,0.0595424
712,0.194368
714,0.230711
716,0.3928
718,0.427002
720,0.348899
722,0.178093
724,0.146759
726,0.189764
728,0.349388
730,0.444793
732,0.194466
734,0.194466
736,0.14917
738,0.0365381
740,0.205112
742,0.147952
744,0.147952
746,0.0932241
748,0.201719
750,0.355414
752,0.0881657
754,0.329325
756,0.179269
758,0.179269
760,0.15637
762,0.111014
764,0.270787
766,0.245394
768,0.367961
770,0.346552
772,0.0150554
774,0.282026
776,0.121893
778,0.121893
780,0.281893
782,0.379899
784,0.185126
786,0.185126
788,0.185126
790,0.185126
792,0.185126
794,0.185126
796,0.279114
798,0.0484597
800,0.0484597
802,0.212024
804,0.0946733
806,0.288918
808,0.325718
810,0.0714879
812,0.286733
814,0.596658
816,0.2025
818,0.144724
820,0.231041
822,0.36868
824,0.36868
826,0.184597
828,0.119763
830,0.470726
832,0.105945
834,0.0592237
836,0.0887977
838,0.0633401
840,0.135099
842,0.223952
844,0.247523
846,0.13351
848,0.31126
850,0.137455
852,0.341517
854,0.32645
856,0.0252762
858,0.159458
860,0.21632
862,0.255458
864,0.255458
866,0.182083
868,0.142825
870,0.218839
872,0.571425
874,0.091363
876,0.1266
878,0.148526
880,0.235696
882,0.235696
884,0.235696
886,0.235696
888,0.268579
890,0.153273
892,0.424323
894,0.258991
896,0.0955666
898,0.169307
900,0.441009
902,0.441009
904,0.223642
906,0.223642
908,0.223642
910,0.223642
912,0.223642
914,0.223642
916,0.223642
918,0.312789
920,0.253463
922,0.286219
924,0.382646
926,0.223739
928,0.220445
930,0.447389
932,0.33661
934,0.152277
936,0.208362
938,0.333492
940,0.249702
942,0.254342
944,0.19936
946,0.197192
948,0.134846
950,0.373412
952,0.235229
954,0.188924
956,0.0520401
958,0.209121
960,0.140016
962,0.0262604
964,0.314721
966,0.161218
968,0.300646
970,0.390598
972,0.390598
974,0.322935
976,0.309273
978,0.100458
980,0.20595
982,0.110692
984,0.187802
986,0.222288
988,0.258474
990,0.189674
992,0.192224
994,0.261532
996,0.03959
998,0.364192
1000,0.161964
1002,0.114404
1004,0.358556
1006,0.249841
1008,0.396723
1010,0.194595
1012,0.15169
1014,0.277377
1016,0.277377
1018,0.378539
1020,0.285129
1022,0.155179
1024,0.327191
1026,0.276663
1028,0.276663
1030,0.345733
1032,0.407355
1034,0.407355
1036,0.290714
1038,0.387412
1040,0.0707147
1042,0.194556
1044,0.470446
1046,0.0829444
1048,0.0829444
1050,0.161642
1052,0.0361408
1054,0.321686
1056,0.170299
1058,0.170299
1060,0.170299
1062,0.170299
1064,0.170299
1066,0.170299
1068,0.170299
1070,0.170299
1072,0.170299
1074,0.170299
1076,0.170299
1078,0.175572
1080,0.140414
1082,0.140414
1084,0.140414
1086,0.182871
1088,0.0961995
1090,0.214922
1092,0.394518
1094,0.217797
1096,0.141409
1098,0.207555
1100,0.0806683
1102,0.244134
1104,0.373885
1106,0.386626
1108,0.121045
1110,0.265014
1112,0.265014
1114,0.0929262
1116,0.0796435
1118,0.519254
1120,0.212746
1122,0.320576
1124,0.13646
1126,0.364225
1128,0.175493
1130,0.175493
1132,0.273193
1134,0.145185
1136,0.208718
1138,0.328961
1140,0.409308
1142,0.140672
1144,0.227241
1146,0.235427
1148,0.125218
1150,0.264265
1152,0.220759
1154,0.220759
1156,0.255533
1158,0.181883
1160,0.202653
1162,0.148628
1164,0.163724
1166,0.231807
1168,0.342381
1170,0.178719
1172,0.341768
1174,0.178571
1176,0.0896656
1178,0.0896656
1180,0.116927
1182,0.220802
1184,0.386317
1186,0.0519312
1188,0.0519312
1190,0.308589
1192,0.231526
1194,0.325808
1196,0.131647
1198,0.0165763
1200,0.350477
1202,0.350477
1204,0.432595
1206,0.432595
1208,0.142102
1210,0.45292
1212,0.0889182
1214,0.329021
1216,0.329021
1218,0.28849
1220,0.298164
1222,0.428587
1224,0.412419
1226,0.156306
1228,0.0930218
1230,0.387962
1232,0.387962
1234,0.387962
1236,0.387962
1238,0.387962
1240,0.387962
1242,0.287708
1244,0.176225
1246,0.176225
1248,0.201244
1250,0.372641
1252,0.193836
1254,0.181556
1256,0.235809
1258,0.140357
1260,0.227435
1262,0.263264
1264,0.321898
1266,0.0772608
1268,0.158501
1270,0.225962
1272,0.225962
1274,0.122681
1276,0.179299
1278,0.302045
1280,0.236916
1282,0.0837313
1284,0.149447
1286,0.17532
1288,0.17532
1290,0.17532
1292,0.159643
1294,0.147108
1296,0.152545
1298,0.248779
1300,0.248779
1302,0.434376
1304,0.15958
1306,0.15958
1308,0.185734
1310,0.174744
1312,0.236133
1314,0.406549
1316,0.0919391
1318,0.150497
1320,0.475705
1322,0.127829
1324,0.0409936
1326,0.122867
1328,0.122867
1330,0.196146
1332,0.108435
1334,0.201884
1336,0.226572
1338,0.316567
1340,0.172249
1342,0.192519
1344,0.16851
1346,0.342738
1348,0.212641
1350,0.198787
1352,0.198787
1354,0.198787
1356,0.321041
1358,0.0783515
1360,0.315005
1362,0.315005
1364,0.032397
1366,0.110537
1368,0.185828
1370,0.413412
1372,0.447704
1374,0.447704
1376,0.477901
1378,0.190855
1380,0.401603
1382,0.172149
1384,0.202312
1386,0.189844
1388,0.189844
1390,0.189844
1392,0.034619
1394,0.123808
1396,0.384123
1398,0.280867
1400,0.403352
1402,0.152496
1404,0.152496
1406,0.0592162
1408,0.144436
1410,0.30634
1412,0.30634
1414,0.215603
1416,0.215603
1418,0.153545
1420,0.0521317
1422,0.347218
1424,0.111228
1426,0.355024
1428,0.120751
1430,0.120751
1432,0.246696
1434,0.36044
1436,0.125741
1438,0.251091
1440,0.0661219
1442,0.0661219
1444,0.21911
1446,0.150929
1448,0.200205
1450,0.200205
1452,0.235709
1454,0.384083
1456,0.0319771
1458,0.134334
1460,0.0652485
1462,0.0842379
1464,0.0152233
1466,0.377168
