ReTr(Lx),ImTr(Lx)
0.274139,-0.268014
-0.311532,-0.0190201
0.0430623,0.177891
-0.0087978,0.201528
0.39383,-0.243931
-0.079473,-0.095212
0.0348821,-0.00430225
0.0728695,0.199371
0.322054,0.0163999
-0.367102,-0.121311
-0.367102,-0.121311
-0.117892,0.175242
-0.15712,-0.066301
-0.118125,-0.0369046
-0.19618,0.208144
-0.202742,-0.0195883
-0.308966,0.373183
-0.308966,0.373183
-0.16272,-0.234867
0.342137,0.0524605
0.147412,0.106893
-0.0574695,0.185046
0.122467,0.139316
0.122467,0.139316
-0.0285573,0.0855905
-0.149729,0.0553965
0.151914,0.0589465
0.088934,-0.122233
0.0467371,0.144418
0.0467371,0.144418
-0.211696,-0.266342
-0.0133546,-0.188965
-0.317697,-0.063858
-0.147512,0.233795
-0.103134,-0.0948625
-0.204,-0.108085
0.0496528,0.187237
-0.227845,0.0496837
0.241563,-0.200224
0.130845,-0.261298
0.00771305,0.066693
0.00771305,0.066693
0.00771305,0.066693
-0.148705,-0.0436006
-0.148705,-0.0436006
-0.0449775,-0.195865
-0.0218065,-0.110209
0.313955,-0.14529
0.024984,-0.126793
0.1064,0.0793435
-0.142572,-0.219192
-0.0817225,0.108432
-0.22144,-0.180771
0.0207651,-0.215347
0.0207651,-0.215347
-0.18705,0.254851
0.053016,-0.235467
0.045756,-0.080414
0.110752,-0.0520335
0.110752,-0.0520335
0.110752,-0.0520335
-0.214937,0.280794
0.106377,0.14956
0.0812115,-0.265925
-0.119168,0.119326
-0.29205,-0.487972
0.053005,-0.06228
-0.109635,-0.167241
-0.160759,0.195402
-0.00413733,-0.078299
-0.113887,-0.090313
-0.113887,-0.090313
-0.171666,0.220942
0.262837,0.0198064
0.0260539,-0.159999
-0.123047,0.343224
-0.035458,0.034902
0.26678,0.176481
-0.40737,0.0361616
0.287492,0.0656135
0.175945,-0.105491
0.090071,-0.0991445
-0.063217,0.0225142
-0.063217,0.0225142
0.119364,-0.300745
0.119845,0.342743
0.119845,0.342743
0.119845,0.342743
0.67606,-0.12745
0.0623195,0.0302389
-0.269564,0.088348
-0.269564,0.088348
-0.269564,0.088348
-0.269564,0.088348
-0.111303,-0.0916455
-0.042823,0.251337
-0.042823,0.251337
-0.257095,0.152065
0.094266,-0.206495
-0.050296,0.109654
0.195544,0.168941
-0.0422662,-0.244637
-0.0422662,-0.244637
0.0354807,0.16685
0.100437,-0.00850735
0.11562,0.086169
0.062091,-0.237235
0.0538655,0.170566
0.0201382,-0.410023
0.0270359,-0.291751
-0.081155,0.163793
0.149171,-0.00882975
0.513735,-0.213996
-0.114515,-0.134403
0.00389264,0.154755
-0.113895,-0.344471
0.090985,0.119405
0.351104,0.193079
0.351104,0.193079
-0.19247,0.46018
-0.135925,-0.13601
0.34698,0.232768
0.150286,-0.065377
0.222943,-0.334653
-0.141217,-0.134738
-0.126286,0.207564
0.205282,0.070593
-0.303492,0.156364
-0.06019,-0.191894
0.14793,-0.106947
0.196633,-0.531
0.0271443,-0.215022
-0.299185,-0.00172125
0.193196,0.411776
0.193196,0.411776
-0.156268,0.194418
-0.156268,0.194418
-0.19547,-0.138795
0.25607,-0.117758
-0.0278296,0.0829655
-0.0278296,0.0829655
0.139857,0.133542
0.0310748,-0.300835
0.121803,-0.0111749
0.121803,-0.0111749
0.083579,-0.123736
-0.249475,0.279255
-0.13902,0.088506
-0.121703,-0.222236
-0.0292844,-0.128043
0.155825,0.291753
-0.266165,0.268078
0.071276,-0.0688015
-0.207855,0.0510415
0.055539,0.241947
0.082099,-0.299202
0.082099,-0.299202
-0.123136,0.034291
-0.255203,-0.052554
0.0671325,0.288862
-0.22735,0.447056
-0.194564,0.283625
-0.221225,-0.0125656
-0.127121,-0.236518
-0.00826695,0.52713
0.026987,-0.289762
0.026987,-0.289762
0.142102,-0.225576
0.474046,0.0635315
0.474046,0.0635315
0.0308451,-0.03781
0.062302,0.0424177
0.0362324,-0.0204783
-0.0604555,-0.24424
0.032862,-0.11933
-0.161429,0.273141
-0.0562055,-0.071195
0.0122717,0.114516
0.0991615,-0.297554
-0.217204,-0.00157975
0.209177,-0.00399217
0.216812,-0.0698515
-0.382498,0.164995
0.19764,-0.012018
-0.226253,-0.0201237
-0.118237,0.200585
-0.014223,0.0453896
0.183417,-0.183054
-0.185625,0.248178
-0.0220967,0.0459323
-0.0220967,0.0459323
0.1733,-0.056144
-0.0709165,0.0804355
-0.0205764,0.0304899
-0.191093,0.220044
-0.485111,-0.0705505
-0.0316509,-0.522275
0.0868805,-0.0402996
-0.00391861,-0.103307
0.102499,-0.412487
-0.223354,0.180717
-0.0129269,0.0338302
0.192101,-0.102859
-0.132972,0.0111208
-0.0456572,0.255211
0.389219,-0.057178
-0.359146,0.161318
-0.359146,0.161318
0.149389,0.0592265
0.367802,0.185271
-0.157316,-0.071424
-0.092476,0.00794895
-0.00361519,0.0276485
-0.00361519,0.0276485
0.012147,0.0241628
-0.119302,-0.224971
-0.0148166,-0.051379
0.0112576,0.113334
0.225627,-0.159725
-0.338054,0.0405336
0.13063,-0.145846
-0.219082,-0.0344081
-0.0307742,0.117085
0.406292,0.257055
0.0219743,0.0454014
-0.0629385,0.26192
0.388311,0.04041
-0.0651745,0.0376557
0.0531165,-0.0298802
0.0563675,0.227293
0.000126758,0.0438506
0.10186,-0.0835025
0.379041,0.12505
0.379362,0.235128
0.379362,0.235128
-0.0650015,0.209546
0.0097866,-0.310079
0.150678,0.331047
-0.261454,0.0106275
0.0376982,0.120311
-0.311409,0.142386
0.09929,-0.074671
-0.0662715,0.0298223
-0.0384801,0.139096
0.128502,-0.051152
0.371993,-0.00217989
0.166367,-0.0805125
-0.160492,-0.193747
0.206739,-0.186443
0.00434057,0.090929
-0.0197758,-0.158109
0.0188701,0.0249956
-0.165387,0.0173707
0.097057,0.259174
0.0216127,0.214339
0.405643,-0.281347
-0.0084039,0.284205
-0.153246,0.021278
-0.153246,0.021278
-0.153246,0.021278
-0.118684,0.130867
-0.118684,0.130867
-0.118684,0.130867
-0.0448865,0.0720045
-0.0441928,0.0919535
-0.118608,0.0795395
-0.0556425,0.230583
0.073333,-0.2469
-0.11451,-0.177012
-0.253503,-0.155075
-0.0133505,0.072817
0.0142048,0.078378
-0.237176,-0.073352
-0.237176,-0.073352
0.277631,0.054296
-0.104744,0.043722
0.131979,-0.0154027
-0.0356904,0.126723
0.088493,0.0436762
0.075144,-0.061454
0.0187436,0.0683605
-0.0233251,0.0071593
-0.0282562,-0.002315
0.285893,-0.376337
-0.0290841,0.0494764
0.0323235,0.014619
-0.0299778,-0.087579
-0.071068,0.07769
-0.0530545,0.228964
-0.016188,-0.025808
0.0301226,0.149552
-0.243666,-0.086112
-0.110955,-0.0210594
-0.058596,0.329353
0.190337,-0.166471
0.0197325,-0.118359
-0.256478,-0.391719
-0.212678,-0.119218
0.170977,-0.255343
-0.0671625,-0.16211
0.055845,-0.166386
-0.090414,0.0844085
-0.199307,-0.185461
0.142214,0.337838
-0.0320411,0.0950845
-0.07276,0.0707305
-0.310846,0.250335
0.312956,-0.0793565
0.35887,0.185878
0.17113,0.0292411
0.0917315,-0.228622
0.212755,-0.057305
0.198341,0.0878705
-0.464442,0.325962
0.128212,0.143403
-0.0600545,0.000636025
0.0552275,-0.0635185
-0.0864355,0.396646
-0.0864355,0.396646
-0.0864355,0.396646
-0.076931,-0.191953
-0.182942,0.314768
0.074858,-0.159743
0.221843,-0.153168
0.0445475,0.0855165
-0.115874,0.0480799
-0.13614,0.0282212
-0.188148,0.2324
-0.195815,-0.154946
0.28102,0.0405919
0.119545,0.0113594
0.145012,-0.0996995
-0.0091157,0.0588405
-0.115486,0.156339
0.206844,-0.102191
-0.18393,0.347075
0.257566,0.340573
-0.299248,0.179391
0.172546,0.0441008
-0.051403,0.137462
0.0376783,-0.185986
-0.179403,-0.299811
-0.44209,-0.0489544
-0.133326,0.141567
-0.133326,0.141567
0.060746,0.136241
-0.0181063,0.0317364
-0.0179777,-0.204323
-0.058293,0.135985
-0.058293,0.135985
0.031475,-0.08775
-0.195223,-0.0507775
0.325382,-0.142987
0.0325061,0.0819545
0.073245,-0.321076
-0.081584,0.15963
-0.081584,0.15963
-0.12691,-0.091354
