MDTU,ssplaq,stplaq
2,1,1
4,1,1
6,1,1
8,1,1
10,1,1
12,1,1
14,1,1
16,1,1
18,1,1
20,1,1
22,1,1
24,1,1
26,1,1
28,1,1
30,1,1
32,1,1
34,1,1
36,1,1
38,1,1
40,1,1
42,1,1
44,1,1
46,0.191915,0.129206
48,0.100226,0.0469079
50,0.043777,0.0325825
52,0.042721,0.0216483
54,0.0125804,0.00614324
56,0.0147307,0.00929281
58,0.0401444,0.0233164
60,0.0353561,0.0105398
62,0.00873428,0.00812911
64,0.00758937,0.00493566
66,0.00758937,0.00493566
68,0.0086468,0.0061378
70,0.0057072,0.0027829
72,0.00754306,0.00265965
74,0.00530634,0.0020148
76,0.00456437,0.00159285
78,0.00799113,0.00247419
80,0.00799113,0.00247419
82,0.0150602,0.00538845
84,0.0239053,0.0112776
86,0.0369448,0.0274944
88,0.086348,0.0339778
90,0.07777,0.0236696
92,0.07777,0.0236696
94,0.0566541,0.0244212
96,0.055327,0.0243617
98,0.0512042,0.017138
100,0.0663567,0.0299347
102,0.0274939,0.0140378
104,0.0274939,0.0140378
106,0.0322375,0.0142846
108,0.0219449,0.0110125
110,0.0309551,0.0117707
112,0.0294056,0.0132211
114,0.120533,0.0492623
116,0.1278,0.0472933
118,0.102891,0.0463952
120,0.117461,0.0482179
122,0.0832595,0.036113
124,0.122333,0.045924
126,0.113649,0.045238
128,0.113649,0.045238
130,0.113649,0.045238
132,0.138839,0.0721442
134,0.138839,0.0721442
136,0.188082,0.0963283
138,0.216428,0.141908
140,0.167799,0.131603
142,0.120312,0.0625561
144,0.113668,0.0518322
146,0.253427,0.0705543
148,0.220813,0.146895
150,0.217657,0.139904
152,0.164372,0.0726682
154,0.164372,0.0726682
156,0.324218,0.124285
158,0.180494,0.0760981
160,0.108812,0.0426043
162,0.161021,0.0937219
164,0.161021,0.0937219
166,0.161021,0.0937219
168,0.106825,0.0702615
170,0.120829,0.0535152
172,0.20322,0.102957
174,0.20769,0.116253
176,0.231478,0.121172
178,0.190297,0.0855166
180,0.248046,0.12038
182,0.20485,0.111973
184,0.274978,0.133846
186,0.260074,0.110106
188,0.260074,0.110106
190,0.327241,0.131109
192,0.211664,0.135576
194,0.283881,0.117634
196,0.285011,0.14971
198,0.330351,0.186519
200,0.282562,0.188032
202,0.298245,0.209365
204,0.223544,0.123662
206,0.306958,0.161143
208,0.35625,0.139965
210,0.259451,0.148108
212,0.259451,0.148108
214,0.32431,0.132656
216,0.397395,0.119096
218,0.397395,0.119096
220,0.397395,0.119096
222,0.374661,0.118627
224,0.343784,0.144923
226,0.387258,0.228812
228,0.387258,0.228812
230,0.387258,0.228812
232,0.387258,0.228812
