ReTr(L),ImTr(L)
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
-0.00225018,-9.58601e-05
0.000165538,-0.000929296
0.000147888,9.95796e-05
-0.000355296,8.93635e-05
-0.000627792,-7.34468e-05
0.000113498,-0.000921749
0.000312965,0.000372868
-0.000273129,8.93617e-05
-4.59265e-05,0.00017087
5.82297e-05,0.000293057
5.82297e-05,0.000293057
0.00147609,0.000705906
0.000159106,0.000226517
0.000133958,0.000193837
-0.000606365,-0.000347077
8.96565e-05,-0.000120535
-0.000124405,7.75259e-05
-0.000124405,7.75259e-05
9.64678e-05,0.000196479
-1.95517e-06,0.000143655
0.000232692,0.000423136
0.000406995,8.06835e-05
-0.000344305,-0.000369107
-0.000344305,-0.000369107
-0.000290343,-4.62666e-05
0.000296874,0.000364193
0.000409807,-0.000544191
0.000207796,-8.40883e-05
-0.000611154,-0.000129565
-0.000611154,-0.000129565
-0.000281217,-0.000155589
0.000192308,0.000247197
-8.15143e-06,-0.0002524
-6.64466e-05,-0.000142499
8.22718e-05,-6.26523e-05
-0.000144146,-0.000274913
1.93272e-05,-0.000593622
-0.000191456,-0.00039793
0.000120908,-0.000110663
0.000272647,0.000304987
0.000149013,7.86706e-05
0.000149013,7.86706e-05
0.000149013,7.86706e-05
0.000185236,-0.0001886
0.000185236,-0.0001886
0.00095288,0.000408499
0.000609255,-0.000177439
-0.000419352,-0.000211137
-0.000505407,-0.000108073
-0.000291156,0.000181008
0.000343112,5.76039e-05
0.000131627,0.000254178
-0.000715952,0.000319984
-0.000502849,-0.000275198
-0.000502849,-0.000275198
0.000364246,0.000621204
0.000255717,0.000110362
-0.000176952,6.49317e-05
0.000524995,-0.00159193
0.000524995,-0.00159193
0.000524995,-0.00159193
7.66996e-05,-0.000155362
-8.16203e-05,-0.000134352
8.83802e-05,0.00026169
-0.00016778,-6.23405e-05
-0.000372481,0.000348371
-0.000192769,0.000339655
-0.000105567,-0.000162938
-8.27527e-05,0.00056936
0.000158642,0.00031662
0.000365962,-0.000455003
0.000365962,-0.000455003
6.89112e-05,-9.00433e-05
-0.000314623,4.58471e-05
0.000105086,-4.83826e-05
-0.000144009,0.000236923
0.000169058,0.000798203
-0.000593958,0.000122002
0.000495908,0.000244489
-0.000426379,0.000513418
0.000552484,-7.10164e-05
9.30127e-05,6.13988e-05
0.000461644,-5.57494e-05
0.000461644,-5.57494e-05
0.000381998,1.30925e-05
0.000126869,-4.93046e-05
0.000126869,-4.93046e-05
0.000126869,-4.93046e-05
-0.000262065,-0.000101997
0.000261426,0.000313837
-0.000693,-0.000517559
-0.000693,-0.000517559
-0.000693,-0.000517559
-0.000693,-0.000517559
-0.000176646,0.00031482
-3.13692e-05,0.000338559
-3.13692e-05,0.000338559
0.000409754,0.000400036
-0.000515392,-0.000120673
0.000571226,0.000237386
0.000115878,-0.000287703
0.000643543,-0.000268511
0.000643543,-0.000268511
0.000106132,-0.000362539
0.000363898,0.000413023
0.000696284,0.000204984
0.000337789,-0.000403878
-0.000416656,-0.000335956
-0.000710357,0.000209663
-0.000758514,0.000169676
0.000718523,0.000388297
0.000753978,0.000761122
-0.000163231,-7.41074e-06
-0.000208261,-8.04682e-06
-0.000213337,-0.000198484
-0.000819646,-0.000464658
0.000221733,-9.60879e-05
-8.90179e-06,-0.000340443
-8.90179e-06,-0.000340443
-0.000183484,0.000530367
6.83493e-05,0.000284405
0.000242202,9.9933e-05
0.000160245,0.00060313
0.000444205,-5.61265e-06
0.000594835,0.000267503
-0.000487533,-1.83236e-05
-1.00953e-05,5.35878e-05
0.000115251,0.000294648
0.000232561,-0.00011567
-0.000135129,0.000477135
-0.000118073,0.00028413
0.000144891,0.000425087
0.000268137,0.000259215
7.17135e-06,-0.000343837
7.17135e-06,-0.000343837
0.00014617,-0.000118722
