MDTU,|Tr(L)|,ReTr(L),ImTr(L)
2,1,1,0
4,1,1,0
6,1,1,0
8,1,1,0
10,1,1,0
12,1,1,0
14,1,1,0
16,1,1,0
18,1,1,0
20,1,1,0
22,1,1,0
24,1,1,0
26,1,1,0
28,1,1,0
30,1,1,0
32,1,1,0
34,1,1,0
36,1,1,0
38,1,1,0
40,1,1,0
42,1,1,0
44,1,1,0
46,0.00225222,-0.00225018,-9.58601e-05
48,0.000943925,0.000165538,-0.000929296
50,0.000178289,0.000147888,9.95796e-05
52,0.000366362,-0.000355296,8.93635e-05
54,0.000632074,-0.000627792,-7.34468e-05
56,0.00092871,0.000113498,-0.000921749
58,0.000486804,0.000312965,0.000372868
60,0.000287376,-0.000273129,8.93617e-05
62,0.000176935,-4.59265e-05,0.00017087
64,0.000298786,5.82297e-05,0.000293057
66,0.000298786,5.82297e-05,0.000293057
68,0.0016362,0.00147609,0.000705906
70,0.000276811,0.000159106,0.000226517
72,0.000235622,0.000133958,0.000193837
74,0.000698671,-0.000606365,-0.000347077
76,0.000150223,8.96565e-05,-0.000120535
78,0.000146584,-0.000124405,7.75259e-05
80,0.000146584,-0.000124405,7.75259e-05
82,0.000218884,9.64678e-05,0.000196479
84,0.000143669,-1.95517e-06,0.000143655
86,0.000482897,0.000232692,0.000423136
88,0.000414916,0.000406995,8.06835e-05
90,0.000504763,-0.000344305,-0.000369107
92,0.000504763,-0.000344305,-0.000369107
94,0.000294006,-0.000290343,-4.62666e-05
96,0.000469862,0.000296874,0.000364193
98,0.000681238,0.000409807,-0.000544191
100,0.000224165,0.000207796,-8.40883e-05
102,0.000624737,-0.000611154,-0.000129565
104,0.000624737,-0.000611154,-0.000129565
106,0.00032139,-0.000281217,-0.000155589
108,0.000313191,0.000192308,0.000247197
110,0.000252531,-8.15143e-06,-0.0002524
112,0.000157229,-6.64466e-05,-0.000142499
114,0.000103412,8.22718e-05,-6.26523e-05
116,0.000310411,-0.000144146,-0.000274913
118,0.000593936,1.93272e-05,-0.000593622
120,0.000441593,-0.000191456,-0.00039793
122,0.000163906,0.000120908,-0.000110663
124,0.000409089,0.000272647,0.000304987
126,0.000168505,0.000149013,7.86706e-05
128,0.000168505,0.000149013,7.86706e-05
130,0.000168505,0.000149013,7.86706e-05
132,0.000264352,0.000185236,-0.0001886
134,0.000264352,0.000185236,-0.0001886
136,0.00103675,0.00095288,0.000408499
138,0.000634568,0.000609255,-0.000177439
140,0.000469505,-0.000419352,-0.000211137
142,0.000516833,-0.000505407,-0.000108073
144,0.000342835,-0.000291156,0.000181008
146,0.000347914,0.000343112,5.76039e-05
148,0.000286238,0.000131627,0.000254178
150,0.000784205,-0.000715952,0.000319984
152,0.000573229,-0.000502849,-0.000275198
154,0.000573229,-0.000502849,-0.000275198
156,0.000720118,0.000364246,0.000621204
158,0.000278516,0.000255717,0.000110362
160,0.000188489,-0.000176952,6.49317e-05
162,0.00167626,0.000524995,-0.00159193
164,0.00167626,0.000524995,-0.00159193
166,0.00167626,0.000524995,-0.00159193
168,0.000173263,7.66996e-05,-0.000155362
170,0.000157201,-8.16203e-05,-0.000134352
172,0.000276211,8.83802e-05,0.00026169
174,0.000178988,-0.00016778,-6.23405e-05
176,0.000510004,-0.000372481,0.000348371
178,0.000390545,-0.000192769,0.000339655
180,0.000194148,-0.000105567,-0.000162938
182,0.000575342,-8.27527e-05,0.00056936
184,0.000354141,0.000158642,0.00031662
186,0.000583915,0.000365962,-0.000455003
188,0.000583915,0.000365962,-0.000455003
190,0.000113387,6.89112e-05,-9.00433e-05
192,0.000317946,-0.000314623,4.58471e-05
194,0.000115689,0.000105086,-4.83826e-05
196,0.000277256,-0.000144009,0.000236923
198,0.00081591,0.000169058,0.000798203
200,0.000606359,-0.000593958,0.000122002
202,0.000552901,0.000495908,0.000244489
204,0.000667381,-0.000426379,0.000513418
206,0.000557029,0.000552484,-7.10164e-05
208,0.00011145,9.30127e-05,6.13988e-05
210,0.000464998,0.000461644,-5.57494e-05
212,0.000464998,0.000461644,-5.57494e-05
214,0.000382222,0.000381998,1.30925e-05
216,0.000136113,0.000126869,-4.93046e-05
218,0.000136113,0.000126869,-4.93046e-05
220,0.000136113,0.000126869,-4.93046e-05
222,0.000281214,-0.000262065,-0.000101997
224,0.000408457,0.000261426,0.000313837
226,0.000864937,-0.000693,-0.000517559
228,0.000864937,-0.000693,-0.000517559
230,0.000864937,-0.000693,-0.000517559
232,0.000864937,-0.000693,-0.000517559
234,0.000360992,-0.000176646,0.00031482
236,0.000340009,-3.13692e-05,0.000338559
238,0.000340009,-3.13692e-05,0.000338559
