MDTU,|Tr(L)|,ReTr(L),ImTr(L)
2,1,1,0
4,1,1,0
6,1,1,0
8,1,1,0
10,1,1,0
12,1,1,0
14,1,1,0
16,1,1,0
18,1,1,0
20,1,1,0
22,1,1,0
24,1,1,0
26,1,1,0
28,1,1,0
30,1,1,0
32,1,1,0
34,1,1,0
36,1,1,0
38,1,1,0
40,1,1,0
42,1,1,0
44,1,1,0
46,0.0495993,-0.0411325,-0.0277166
48,0.0650906,-0.02359,0.0606655
50,0.152087,-0.134579,0.0708435
52,0.193338,-0.0510885,0.186466
54,0.218593,-0.134158,0.172582
56,0.331666,-0.0188036,-0.331133
58,0.0636404,0.058408,0.0252707
60,0.465112,-0.150718,0.440015
62,0.167354,0.145525,0.082644
64,0.236472,0.159184,0.174871
66,0.236472,0.159184,0.174871
68,0.312281,0.117999,0.289129
70,0.299081,-0.158649,0.253535
72,0.260067,-0.161995,0.203451
74,0.206453,-0.183855,-0.093915
76,0.217322,0.185087,-0.113892
78,0.288954,-0.288179,0.0211466
80,0.288954,-0.288179,0.0211466
82,0.0349875,-0.0172185,-0.0304574
84,0.159113,-0.0266783,-0.156861
86,0.0528774,-0.00447758,0.0526875
88,0.342858,0.269695,-0.2117
90,0.181164,0.0394442,-0.176817
92,0.181164,0.0394442,-0.176817
94,0.0762881,0.0329602,0.0688005
96,0.355053,-0.00423525,0.355028
98,0.104299,0.102064,0.021476
100,0.108535,-0.0521815,-0.095168
102,0.461428,-0.381418,-0.259684
104,0.461428,-0.381418,-0.259684
106,0.255521,-0.0949815,-0.237211
108,0.307147,0.274002,0.13879
110,0.327289,0.289577,0.152524
112,0.102386,0.066814,-0.0775805
114,0.273919,0.246394,-0.119672
116,0.372762,-0.201862,-0.313374
118,0.110675,0.0615205,-0.092001
120,0.230507,-0.082577,-0.215208
122,0.0280036,0.0271745,0.0067637
124,0.343661,0.290654,0.183367
126,0.0289021,0.0288936,0.00070219
128,0.0289021,0.0288936,0.00070219
130,0.0289021,0.0288936,0.00070219
132,0.131538,-0.096062,-0.089858
134,0.131538,-0.096062,-0.089858
136,0.177184,-0.106246,0.141796
138,0.155608,-0.14732,-0.0501065
140,0.283522,0.246392,-0.140271
142,0.253606,-0.251601,-0.0318196
144,0.104321,0.0888065,0.054738
146,0.419187,0.417148,0.0412867
148,0.225677,-0.191393,0.119576
150,0.188686,-0.161269,0.097953
152,0.381948,-0.088709,-0.371503
154,0.381948,-0.088709,-0.371503
156,0.0878184,0.0460202,0.0747945
158,0.16943,0.0336299,-0.166058
160,0.11511,0.0460231,-0.10551
162,0.370352,0.275221,-0.247819
164,0.370352,0.275221,-0.247819
166,0.370352,0.275221,-0.247819
168,0.226693,-0.170818,-0.149033
170,0.225897,0.212759,-0.075914
172,0.212903,-0.189478,-0.097086
174,0.145346,-0.0504035,-0.136326
176,0.261875,-0.219009,0.143574
178,0.381623,-0.380519,-0.0290081
180,0.266183,0.174298,-0.20118
182,0.192857,0.0984515,0.165835
184,0.0590088,-0.0444594,-0.0387995
186,0.3694,0.337591,-0.149963
188,0.3694,0.337591,-0.149963
190,0.367467,-0.299258,-0.213252
192,0.11615,-0.114798,0.0176659
194,0.164576,0.161831,0.0299324
196,0.182034,0.165927,0.074866
198,0.250008,-0.0885565,0.233799
200,0.0955995,0.0921975,0.0252762
202,0.215434,0.192933,-0.0958575
204,0.288314,-0.229697,-0.174253
206,0.225188,-0.170037,-0.147639
208,0.0470319,-0.0236282,-0.0406658
210,0.167704,-0.0265672,0.165586
212,0.167704,-0.0265672,0.165586
214,0.0882187,-0.060534,-0.064173
216,0.319672,0.311572,0.0715085
218,0.319672,0.311572,0.0715085
220,0.319672,0.311572,0.0715085
222,0.169312,-0.0696145,-0.154338
224,0.308216,-0.12193,-0.283073
226,0.178481,0.141003,0.109424
228,0.178481,0.141003,0.109424
230,0.178481,0.141003,0.109424
232,0.178481,0.141003,0.109424
234,0.209824,0.0711885,0.197379
236,0.342399,0.140512,0.31224
238,0.342399,0.140512,0.31224
240,0.119056,-0.0071793,-0.11884
242,0.399343,-0.307063,-0.255317
244,0.2744,0.251136,-0.110571
246,0.430391,-0.0212969,-0.429864
248,0.213391,0.210168,0.0369459
250,0.213391,0.210168,0.0369459
252,0.185674,0.117369,-0.143873
254,0.412837,-0.0378602,0.411097
256,0.2472,0.229081,0.0928975
258,0.0747125,-0.074668,-0.00257869
260,0.290063,-0.281882,-0.0684025
262,0.67169,-0.656905,0.140156
264,0.378572,-0.378545,-0.00459404
266,0.126515,0.126302,0.00733265
268,0.461965,-0.133334,0.442306
270,0.0328674,0.0116455,-0.0307351
