ReTr(L),ImTr(L)
-0.0411325,-0.0277166
-0.02359,0.0606655
-0.134579,0.0708435
-0.0510885,0.186466
-0.134158,0.172582
-0.0188036,-0.331133
0.058408,0.0252707
-0.150718,0.440015
0.145525,0.082644
0.159184,0.174871
0.159184,0.174871
0.117999,0.289129
-0.158649,0.253535
-0.161995,0.203451
-0.183855,-0.093915
0.185087,-0.113892
-0.288179,0.0211466
-0.288179,0.0211466
-0.0172185,-0.0304574
-0.0266783,-0.156861
-0.00447758,0.0526875
0.269695,-0.2117
0.0394442,-0.176817
0.0394442,-0.176817
0.0329602,0.0688005
-0.00423525,0.355028
0.102064,0.021476
-0.0521815,-0.095168
-0.381418,-0.259684
-0.381418,-0.259684
-0.0949815,-0.237211
0.274002,0.13879
0.289577,0.152524
0.066814,-0.0775805
0.246394,-0.119672
-0.201862,-0.313374
0.0615205,-0.092001
-0.082577,-0.215208
0.0271745,0.0067637
0.290654,0.183367
0.0288936,0.00070219
0.0288936,0.00070219
0.0288936,0.00070219
-0.096062,-0.089858
-0.096062,-0.089858
-0.106246,0.141796
-0.14732,-0.0501065
0.246392,-0.140271
-0.251601,-0.0318196
0.0888065,0.054738
0.417148,0.0412867
-0.191393,0.119576
-0.161269,0.097953
-0.088709,-0.371503
-0.088709,-0.371503
0.0460202,0.0747945
0.0336299,-0.166058
0.0460231,-0.10551
0.275221,-0.247819
0.275221,-0.247819
0.275221,-0.247819
-0.170818,-0.149033
0.212759,-0.075914
-0.189478,-0.097086
-0.0504035,-0.136326
-0.219009,0.143574
-0.380519,-0.0290081
0.174298,-0.20118
0.0984515,0.165835
-0.0444594,-0.0387995
0.337591,-0.149963
0.337591,-0.149963
-0.299258,-0.213252
-0.114798,0.0176659
0.161831,0.0299324
0.165927,0.074866
-0.0885565,0.233799
0.0921975,0.0252762
0.192933,-0.0958575
-0.229697,-0.174253
-0.170037,-0.147639
-0.0236282,-0.0406658
-0.0265672,0.165586
-0.0265672,0.165586
-0.060534,-0.064173
0.311572,0.0715085
0.311572,0.0715085
0.311572,0.0715085
-0.0696145,-0.154338
-0.12193,-0.283073
0.141003,0.109424
0.141003,0.109424
0.141003,0.109424
0.141003,0.109424
0.0711885,0.197379
0.140512,0.31224
0.140512,0.31224
-0.0071793,-0.11884
-0.307063,-0.255317
0.251136,-0.110571
-0.0212969,-0.429864
0.210168,0.0369459
0.210168,0.0369459
0.117369,-0.143873
-0.0378602,0.411097
0.229081,0.0928975
-0.074668,-0.00257869
-0.281882,-0.0684025
-0.656905,0.140156
-0.378545,-0.00459404
0.126302,0.00733265
-0.133334,0.442306
0.0116455,-0.0307351
-0.34774,0.0477879
-0.139402,-0.0171085
0.00150945,-0.360727
0.126078,-0.180042
0.254063,-0.0331757
0.254063,-0.0331757
-0.119923,0.26368
0.0349318,0.217272
0.283975,-0.0818775
0.0731295,0.0309642
0.0104878,0.333288
-0.058781,-0.00050188
-0.286793,0.0207194
-0.106079,0.033469
0.222204,-0.0245428
0.34474,0.0603885
0.0166192,-0.0147031
-0.064388,-0.0060579
0.225489,0.132231
-0.0415534,0.128526
-0.0380964,0.065902
-0.0380964,0.065902
0.0252056,0.0565405
0.0252056,0.0565405
-0.047315,0.39774
0.0462714,0.0587485
0.319677,0.285517
0.319677,0.285517
-0.0710355,0.288011
0.280736,-0.151427
-0.36906,0.234272
-0.36906,0.234272
-0.011821,-0.406118
-0.175457,0.00698235
0.210784,0.356457
0.11664,-0.10723
-0.0690155,-0.263053
-0.223234,0.172436
-0.197427,0.0680555
-0.12056,0.0899485
0.061602,-0.117377
-0.266456,0.423386
-0.179926,-0.0160148
-0.179926,-0.0160148
0.0125571,0.144925
-0.211641,-0.069613
0.0203414,0.270531
0.103725,-0.0366175
-0.299312,0.0204139
-0.0864525,-0.240673
-0.0396925,-0.346316
-0.07433,0.0560645
-0.156651,-0.14812
-0.156651,-0.14812
0.052211,0.156645
-0.112325,-0.082543
-0.112325,-0.082543
-0.0423199,0.0166598
-0.035289,0.194734
-0.0883025,0.258204
0.091694,-0.0435773
0.154285,0.247196
-0.101763,-0.396023
0.0397309,0.18393
-0.0485205,-0.00123327
0.121646,-0.259271
