MDTU,min_min,min_max,max_min,max_max
2,0,0,0,0
4,0,0,0,0
6,0,0,0,0
8,0,0,0,0
10,0,0,0,0
12,0,0,0,0
14,0,0,0,0
16,0,0,0,0
18,0,0,0,0
20,0,0,0,0
22,0,0,0,0
24,0,0,0,0
26,0,0,0,0
28,0,0,0,0
30,0,0,0,0
32,0,0,0,0
34,0,0,0,0
36,0,0,0,0
38,0,0,0,0
40,0,0,0,0
42,0,0,0,0
44,0,0,0,0
46,-3.60384,0.335774,-1.57514,0.425272
48,-3.89107,0.323109,-1.6433,0.489192
50,-6.09053,0.140581,-1.81715,0.47642
52,-4.67137,-0.0912602,-1.97269,0.162311
54,-3.92184,-0.481594,-1.91714,-0.0695358
56,-4.25213,-0.486337,-2.05223,-0.0665414
58,-4.65513,0.0576478,-1.76244,0.490111
60,-5.23508,-0.0309321,-2.23113,0.274281
62,-3.72908,-0.320103,-2.18687,0.0225138
64,-4.19424,-0.207175,-2.01773,0.063073
66,-4.19424,-0.207175,-2.01773,0.063073
68,-3.84875,-0.284651,-2.06156,0.0342179
70,-4.26859,-0.469006,-2.20326,-0.103734
72,-3.8561,-0.859735,-1.76853,-0.057464
74,-3.96527,-0.781209,-1.97939,-0.282356
76,-4.65497,-0.661912,-2.39469,-0.160033
78,-4.22739,-0.399146,-1.77528,0.116326
80,-4.22739,-0.399146,-1.77528,0.116326
82,-5.03159,-0.246763,-2.77637,0.165263
84,-5.05516,0.0772853,-1.96953,0.357047
86,-4.29142,0.183476,-2.44851,0.3662
88,-5.16418,0.310786,-1.97024,0.419321
90,-3.69184,0.462065,-1.91849,0.536305
92,-3.69184,0.462065,-1.91849,0.536305
94,-4.12825,0.165357,-1.90199,0.380929
96,-4.2709,0.0148386,-2.30665,0.492165
98,-4.71657,0.029083,-1.81712,0.254416
100,-4.4167,0.267903,-1.70838,0.40186
102,-4.45829,-0.0751119,-1.75342,0.309826
104,-4.45829,-0.0751119,-1.75342,0.309826
106,-4.27552,-0.019788,-2.26167,0.32132
108,-4.20018,0.000932087,-1.91919,0.378211
110,-4.53317,-0.127105,-1.98456,0.214071
112,-4.99583,-0.0683072,-2.16031,0.250429
114,-4.63629,0.396065,-2.198,0.603978
116,-4.31801,0.458694,-1.89721,0.682577
118,-4.61391,0.408815,-1.70826,0.622701
120,-4.52141,0.532906,-2.11769,0.660072
122,-4.08716,0.51468,-2.43694,0.652452
124,-3.87166,0.582039,-2.29778,0.645985
126,-4.02798,0.47451,-1.85228,0.582704
128,-4.02798,0.47451,-1.85228,0.582704
130,-4.02798,0.47451,-1.85228,0.582704
132,-3.96994,0.70338,-1.91792,0.918997
134,-3.96994,0.70338,-1.91792,0.918997
136,-4.6386,0.721347,-2.1942,0.905144
138,-4.35001,0.899835,-2.05611,0.978245
140,-3.99289,0.80143,-1.85651,0.927032
142,-5.95607,0.694386,-2.04336,0.81902
144,-4.42083,0.600347,-2.05595,0.791722
146,-4.26021,0.784057,-2.28915,0.873837
148,-6.14151,0.936402,-2.26576,1.02543
150,-4.19734,0.799897,-2.09189,0.947688
152,-4.15718,0.736663,-1.87722,0.891335
154,-4.15718,0.736663,-1.87722,0.891335
156,-4.41398,0.926782,-1.9275,0.996299
158,-3.70982,0.6982,-1.89156,0.930215
160,-5.53021,0.80258,-2.07715,0.817198
162,-4.11603,0.7206,-2.20622,0.965479
164,-4.11603,0.7206,-2.20622,0.965479
166,-4.11603,0.7206,-2.20622,0.965479
168,-4.29002,0.545197,-1.80162,0.673404
170,-4.02594,0.601208,-1.64356,0.73573
172,-5.16264,0.837156,-2.00347,0.922189
174,-5.21158,0.862211,-1.98885,1.07011
176,-3.88714,0.854089,-1.87243,0.951717
178,-4.46037,0.92204,-2.45646,1.04121
180,-3.73082,0.928142,-1.99112,1.03989
182,-4.65415,0.889613,-2.40299,0.985045
184,-5.86817,0.894322,-1.74454,0.987223
186,-3.75859,0.785357,-1.78686,0.926077
188,-3.75859,0.785357,-1.78686,0.926077
190,-4.20077,1.0156,-2.47488,1.09765
192,-4.47026,0.874883,-2.0374,1.02215
194,-5.46924,0.843218,-2.04224,0.974598
196,-3.83226,1.00992,-1.89968,1.10449
198,-3.68538,1.05527,-2.02126,1.12252
200,-4.46291,0.969519,-1.79096,1.08072
202,-4.82762,0.989963,-1.93025,1.11946
204,-4.39239,0.826224,-1.79491,0.97974
206,-4.17732,1.0035,-1.98597,1.07018
208,-5.20481,1.04331,-2.10137,1.14585
210,-4.59057,1.07958,-2.39674,1.10793
212,-4.59057,1.07958,-2.39674,1.10793
214,-3.93782,1.02119,-2.28034,1.15231
216,-3.68377,1.11331,-1.93969,1.19921
218,-3.68377,1.11331,-1.93969,1.19921
220,-3.68377,1.11331,-1.93969,1.19921
222,-4.10014,1.04083,-2.10219,1.1548
224,-3.98784,0.946653,-2.18191,1.09712
226,-3.93303,1.16245,-1.9225,1.24236
228,-3.93303,1.16245,-1.9225,1.24236
230,-3.93303,1.16245,-1.9225,1.24236
232,-3.93303,1.16245,-1.9225,1.24236
234,-3.75005,1.23328,-2.23399,1.31024
236,-3.06419,1.15526,-1.87792,1.19717
238,-3.06419,1.15526,-1.87792,1.19717
240,-3.78206,1.06148,-1.99062,1.15946
242,-4.18874,1.06507,-2.21998,1.17265
244,-5.34829,1.07103,-1.92864,1.13148
246,-4.51506,1.09841,-2.25632,1.26928
248,-3.74244,1.34458,-2.48829,1.45315
250,-3.74244,1.34458,-2.48829,1.45315
252,-4.29691,1.3894,-1.86497,1.47322
254,-6.0093,1.41703,-1.91826,1.45426
256,-3.76272,1.54421,-1.87542,1.58777
258,-4.13552,1.51436,-1.83367,1.57169
260,-4.88869,1.51011,-2.13928,1.67461
262,-4.96035,1.68122,-2.15228,1.7047
264,-5.00972,1.55564,-2.11108,1.61662
266,-4.5784,1.4632,-1.89911,1.541
268,-4.08127,1.47342,-1.90554,1.53908
270,-3.59389,1.45549,-2.27449,1.52755
272,-4.18123,1.4889,-2.02802,1.56411
274,-4.45622,1.50286,-1.98935,1.61662
