MDTU,min_ave,max_ave
2,0,0
4,0,0
6,0,0
8,0,0
10,0,0
12,0,0
14,0,0
16,0,0
18,0,0
20,0,0
22,0,0
24,0,0
26,0,0
28,0,0
30,0,0
32,0,0
34,0,0
36,0,0
38,0,0
40,0,0
42,0,0
44,0,0
46,-1.20975,-0.454658
48,-1.62725,-0.651726
50,-1.69394,-0.805301
52,-1.79641,-0.842057
54,-1.96541,-0.987614
56,-1.95476,-0.932027
58,-1.87754,-0.816184
60,-1.8831,-0.928504
62,-1.94892,-0.995526
64,-2.18593,-1.04799
66,-2.18593,-1.04799
68,-1.9708,-1.00842
70,-2.22256,-1.07206
72,-2.16057,-1.05001
74,-2.25421,-1.12197
76,-2.29702,-1.13669
78,-2.17405,-1.10526
80,-2.17405,-1.10526
82,-2.09464,-1.07712
84,-2.04445,-0.944106
86,-1.92151,-0.847266
88,-1.65582,-0.742015
90,-1.6795,-0.76657
92,-1.6795,-0.76657
94,-1.67038,-0.823431
96,-1.97696,-0.805597
98,-1.70598,-0.811643
100,-1.79323,-0.763513
102,-1.95161,-0.911088
104,-1.95161,-0.911088
106,-1.9564,-0.934275
108,-2.05467,-0.94463
110,-1.90988,-0.927523
112,-1.88493,-0.925445
114,-1.65439,-0.676219
116,-1.67045,-0.68912
118,-1.70113,-0.704501
120,-1.62603,-0.724529
122,-1.79528,-0.78711
124,-1.5479,-0.72716
126,-1.65734,-0.707939
128,-1.65734,-0.707939
130,-1.65734,-0.707939
132,-1.47208,-0.67303
134,-1.47208,-0.67303
136,-1.64937,-0.612223
138,-1.50416,-0.564578
140,-1.52044,-0.575621
142,-1.72032,-0.698554
144,-1.76209,-0.758858
146,-1.5062,-0.626197
148,-1.46105,-0.612127
150,-1.46519,-0.581712
152,-1.54899,-0.653371
154,-1.54899,-0.653371
156,-1.5487,-0.542494
158,-1.46303,-0.658994
160,-1.67088,-0.756809
162,-1.586,-0.652897
164,-1.586,-0.652897
166,-1.586,-0.652897
168,-1.52637,-0.669905
170,-1.68306,-0.677839
172,-1.60494,-0.613651
174,-1.61203,-0.626496
176,-1.55338,-0.573003
178,-1.56727,-0.712046
180,-1.50755,-0.589788
182,-1.67015,-0.580839
184,-1.56564,-0.534728
186,-1.36187,-0.536092
188,-1.36187,-0.536092
190,-1.402,-0.556391
192,-1.51736,-0.566524
194,-1.63791,-0.521447
196,-1.42713,-0.585549
198,-1.32377,-0.534637
200,-1.4738,-0.514839
202,-1.45752,-0.491665
204,-1.43528,-0.582256
206,-1.54746,-0.524159
208,-1.61886,-0.552114
210,-1.49993,-0.595356
212,-1.49993,-0.595356
214,-1.42242,-0.567095
216,-1.31991,-0.573042
218,-1.31991,-0.573042
220,-1.31991,-0.573042
222,-1.46642,-0.571026
224,-1.42157,-0.528923
226,-1.34571,-0.498125
228,-1.34571,-0.498125
230,-1.34571,-0.498125
232,-1.34571,-0.498125
234,-1.36852,-0.485778
236,-1.25488,-0.501475
238,-1.25488,-0.501475
240,-1.26652,-0.497218
242,-1.36753,-0.575184
244,-1.46937,-0.578334
246,-1.37247,-0.459096
248,-1.26506,-0.455967
250,-1.26506,-0.455967
252,-1.27909,-0.402447
254,-1.28807,-0.33619
256,-1.0986,-0.311388
258,-1.02376,-0.308103
260,-1.40424,-0.393195
262,-1.28978,-0.389917
264,-1.29396,-0.342733
266,-1.28949,-0.35202
268,-1.35717,-0.391716
270,-1.20356,-0.37469
272,-1.20603,-0.405927
274,-1.18593,-0.385899
276,-1.13846,-0.380077
278,-1.19721,-0.377081
280,-1.31794,-0.447767
282,-1.31794,-0.447767
284,-1.31171,-0.458444
286,-1.2983,-0.471378
288,-1.4041,-0.534913
290,-1.55721,-0.539634
292,-1.40345,-0.52156
294,-1.4448,-0.588512
296,-1.42284,-0.527586
298,-1.65984,-0.589539
300,-1.42592,-0.558512
302,-1.3551,-0.501656
304,-1.4317,-0.428797
306,-1.18546,-0.384631
308,-1.30146,-0.373568
310,-1.19553,-0.366388
312,-1.16342,-0.347836
314,-1.16342,-0.347836
316,-1.0392,-0.376961
318,-1.0392,-0.376961
320,-1.1401,-0.400239
322,-1.32962,-0.34931
324,-1.31767,-0.398179
326,-1.31767,-0.398179
328,-1.2348,-0.382392
330,-1.26232,-0.381125
332,-1.2233,-0.393951
334,-1.2233,-0.393951
336,-1.22962,-0.420793
338,-1.32968,-0.443286
340,-1.22527,-0.401119
342,-1.21854,-0.357933
344,-1.22003,-0.297242
346,-1.11259,-0.322226
348,-1.3134,-0.338756
350,-1.10705,-0.311319
352,-1.31654,-0.339982
354,-1.18411,-0.324647
356,-1.32329,-0.313293
358,-1.32329,-0.313293
360,-1.22369,-0.302278
362,-1.09,-0.315831
364,-1.1477,-0.225081
366,-1.11862,-0.20236
368,-0.990026,-0.218063
370,-1.13552,-0.240425
372,-1.06069,-0.219041
374,-1.09843,-0.234816
376,-1.21372,-0.252169
378,-1.21372,-0.252169
380,-0.992259,-0.224606
382,-1.1134,-0.218887
384,-1.1134,-0.218887
386,-1.00152,-0.274125
388,-1.17551,-0.262439
390,-1.10504,-0.239797
392,-1.17238,-0.252279
394,-1.16628,-0.213967
396,-1.12402,-0.221781
398,-1.11729,-0.207452
400,-0.935004,-0.203774
402,-1.19246,-0.202508
404,-0.935598,-0.166597
406,-0.958858,-0.229258
408,-1.01976,-0.20282
410,-1.15085,-0.225596
412,-1.35091,-0.289421
414,-1.22634,-0.373806
416,-1.12524,-0.20478
418,-1.25596,-0.232448
420,-1.06952,-0.181956
422,-1.14617,-0.260913
424,-1.01417,-0.277952
426,-1.01417,-0.277952
428,-1.20378,-0.24668
430,-1.235,-0.211987
432,-0.938541,-0.237775
434,-1.0625,-0.201652
436,-1.05532,-0.242326
438,-1.10195,-0.268206
440,-1.00951,-0.287182
442,-1.16471,-0.299344
444,-1.12023,-0.274572
446,-1.1465,-0.319725
448,-1.17661,-0.295479
450,-1.18088,-0.294988
452,-1.04327,-0.232003
454,-1.03095,-0.190219
456,-0.980349,-0.197822
458,-0.998975,-0.181498
460,-0.998975,-0.181498
462,-1.02065,-0.163319
464,-1.02636,-0.16374
466,-0.971619,-0.143841
468,-0.964051,-0.183677
470,-1.06944,-0.165668
