MDTU,min_width,max_width
2,0,0
4,0,0
6,0,0
8,0,0
10,0,0
12,0,0
14,0,0
16,0,0
18,0,0
20,0,0
22,0,0
24,0,0
26,0,0
28,0,0
30,0,0
32,0,0
34,0,0
36,0,0
38,0,0
40,0,0
42,0,0
44,0,0
46,1.10665,0.614598
48,1.32429,0.730353
50,1.2964,0.717948
52,1.20506,0.65076
54,0.877577,0.488702
56,0.999207,0.487033
58,1.25653,0.679754
60,1.2125,0.690507
62,0.769154,0.504827
64,0.850731,0.503639
66,0.850731,0.503639
68,0.846665,0.51491
70,0.886621,0.454636
72,0.81855,0.435394
74,0.759608,0.40321
76,0.908998,0.46303
78,0.863643,0.453742
80,0.863643,0.453742
82,1.13142,0.632284
84,1.23077,0.64324
86,1.35833,0.745202
88,1.3307,0.761725
90,1.20489,0.743431
92,1.20489,0.743431
94,1.20136,0.725498
96,1.39744,0.722328
98,1.12286,0.635791
100,1.33647,0.757621
102,1.25445,0.635622
104,1.25445,0.635622
106,1.24043,0.761244
108,1.18371,0.67293
110,1.22244,0.66275
112,1.1892,0.697854
114,1.4584,0.847328
116,1.47471,0.878673
118,1.48586,0.834547
120,1.43537,0.898971
122,1.52029,0.912976
124,1.38642,0.909505
126,1.40511,0.823977
128,1.40511,0.823977
130,1.40511,0.823977
132,1.48503,0.992198
134,1.48503,0.992198
136,1.68753,0.983365
138,1.68571,1.05444
140,1.61363,0.988138
142,1.68929,0.9488
144,1.67688,1.01446
146,1.58496,1.03338
148,1.75936,1.13777
150,1.6252,1.05586
152,1.57967,1.01063
154,1.57967,1.01063
156,1.74664,1.0512
158,1.49393,1.00989
160,1.60682,0.937522
162,1.58194,1.01067
164,1.58194,1.01067
166,1.58194,1.01067
168,1.39724,0.8578
170,1.54674,0.909846
172,1.71305,1.04916
174,1.78364,1.11109
176,1.64601,1.00896
178,1.73505,1.15805
180,1.69461,1.10932
182,1.74225,1.03568
184,1.77378,1.01639
186,1.45419,0.934715
188,1.45419,0.934715
190,1.67379,1.10625
192,1.69507,1.03989
194,1.77813,0.974537
196,1.71874,1.16553
198,1.67207,1.15424
200,1.75563,1.10788
202,1.74628,1.07987
204,1.60133,1.03619
206,1.77236,1.08139
208,1.90175,1.15374
210,1.76372,1.15991
212,1.76372,1.15991
214,1.69998,1.1415
216,1.67095,1.20159
218,1.67095,1.20159
220,1.67095,1.20159
222,1.73066,1.16023
224,1.67604,1.10839
226,1.75959,1.19676
228,1.75959,1.19676
230,1.75959,1.19676
232,1.75959,1.19676
234,1.80827,1.22391
236,1.65774,1.18285
238,1.65774,1.18285
240,1.63729,1.12814
242,1.72056,1.19002
244,1.79922,1.15344
246,1.76495,1.15058
248,1.84985,1.29482
250,1.84985,1.29482
252,1.90986,1.28114
254,1.98917,1.26902
256,1.85014,1.31438
258,1.79526,1.30195
260,2.12897,1.36709
262,2.12498,1.45736
264,2.07399,1.36131
266,1.96869,1.30153
268,2.0319,1.34145
270,1.88974,1.33894
272,1.90849,1.34239
274,1.92763,1.35985
276,1.80776,1.27704
278,1.86493,1.28105
280,1.87933,1.27538
282,1.87933,1.27538
284,1.79836,1.21533
286,1.75667,1.18857
288,1.75774,1.16346
290,1.76222,1.08417
292,1.67369,1.06783
294,1.68032,1.13011
296,1.76864,1.13538
298,1.9413,1.2076
300,1.76184,1.18615
302,1.84118,1.24834
304,1.97209,1.22693
306,1.86361,1.30403
308,2.07554,1.30488
310,1.87882,1.25162
312,1.82223,1.24705
314,1.82223,1.24705
316,1.72584,1.28947
318,1.72584,1.28947
320,1.74222,1.25135
322,1.95844,1.24114
324,1.91039,1.23534
326,1.91039,1.23534
328,1.89615,1.29132
330,1.87968,1.28282
332,1.8592,1.28541
334,1.8592,1.28541
336,1.93038,1.37105
338,2.03157,1.4155
340,2.0278,1.41227
342,2.09603,1.47205
344,2.14628,1.43173
346,2.00318,1.44337
348,2.16913,1.43551
350,1.98124,1.44351
352,2.15624,1.4622
354,2.04339,1.4425
356,2.21932,1.44031
358,2.21932,1.44031
360,2.1358,1.46612
362,2.02418,1.49851
364,2.14076,1.48194
366,2.16382,1.4824
368,2.01024,1.47252
370,2.1715,1.53988
372,2.14215,1.54057
374,2.20489,1.56059
376,2.25613,1.57666
378,2.25613,1.57666
380,2.06539,1.54753
382,2.2485,1.57107
384,2.2485,1.57107
386,2.0973,1.58311
388,2.23082,1.58152
390,2.13424,1.51164
392,2.13084,1.48932
394,2.21983,1.49771
396,2.21066,1.54005
398,2.16388,1.49202
400,2.06394,1.53477
402,2.23098,1.50347
404,2.08392,1.54203
406,2.13717,1.60226
408,2.12753,1.55461
410,2.26332,1.5817
412,2.38821,1.59132
414,2.19847,1.60082
416,2.22432,1.50968
418,2.27223,1.52943
420,2.1044,1.48696
422,2.18789,1.55749
424,2.11821,1.58107
426,2.11821,1.58107
428,2.21854,1.53251
430,2.27947,1.48389
432,1.99272,1.47541
434,2.03775,1.44429
436,2.07831,1.46067
438,2.06433,1.49549
440,2.06963,1.55963
442,2.18654,1.57334
444,2.1776,1.53721
446,2.17511,1.60027
448,2.22778,1.58921
450,2.32806,1.63476
452,2.16156,1.57697
454,2.20324,1.55561
456,2.15419,1.59725
458,2.16953,1.61856
460,2.16953,1.61856
462,2.28719,1.64251
464,2.33104,1.67304
466,2.28269,1.67501
468,2.24884,1.67629
470,2.32002,1.66262
472,2.32002,1.66262
474,2.42954,1.74148
476,2.46948,1.65637
478,2.39693,1.67998
480,2.34657,1.63431
482,2.31529,1.63767
484,2.29989,1.65958
486,2.10546,1.61543
488,2.11453,1.5777
490,2.15537,1.59255
492,2.30124,1.63084
494,2.13902,1.57414
496,2.13961,1.51873
498,2.12517,1.56801
500,2.12509,1.49178
502,2.15432,1.51601
504,2.19009,1.517
506,2.10658,1.48583
508,2.09267,1.55858
510,2.11781,1.53992
512,2.06108,1.50038
514,2.06108,1.50038
516,2.14585,1.52495
518,2.27146,1.50745
520,2.06704,1.4511
522,2.06455,1.43835
524,1.94906,1.41037
526,2.07112,1.35439
528,1.98304,1.38774
530,2.09649,1.38378
532,2.06181,1.45401
534,2.05744,1.43763
536,2.15884,1.52137
538,2.07425,1.48691
540,2.04676,1.50761
