MDTU,plaq,Re(det),Im(det),link
2,0,0,0,1
4,0,0,0,1
6,0,0,0,1
8,0,0,0,1
10,0,0,0,1
12,0,0,0,1
14,0,0,0,1
16,0,0,0,1
18,0,0,0,1
20,0,0,0,1
22,0,0,0,1
24,0,0,0,1
26,0,0,0,1
28,0,0,0,1
30,0,0,0,1
32,0,0,0,1
34,0,0,0,1
36,0,0,0,1
38,0,0,0,1
40,0,0,0,1
42,0,0,0,1
44,0,0,0,1
46,0.0101051,2.90871e-05,3.73144e-05,0.668246
48,0.00139209,9.62895e-07,7.62093e-07,0.595014
50,0.00212329,5.6103e-07,5.55016e-07,0.403062
52,0.00323349,1.22677e-06,1.01211e-06,0.299304
54,0.00182847,1.0789e-06,7.86894e-07,0.145389
56,0.00171198,1.3037e-06,8.65789e-07,0.162382
58,0.00107888,2.38197e-07,1.59537e-07,0.344034
60,0.001391,3.6021e-06,5.57835e-07,0.263803
62,0.00110186,1.30833e-06,8.03923e-07,0.147231
64,0.00101237,3.42365e-07,2.21373e-07,0.127179
66,0.00101237,3.42365e-07,2.21373e-07,0.127179
68,0.00121856,6.31005e-07,6.95511e-07,0.143558
70,0.00144791,4.13134e-07,4.68992e-07,0.110986
72,0.00105052,2.87937e-07,9.47597e-07,0.112008
74,0.0016241,9.70508e-07,5.01424e-07,0.0863542
76,0.00135942,2.76347e-07,7.00203e-07,0.0977515
78,0.00216017,1.37154e-06,9.01263e-07,0.113405
80,0.00216017,1.37154e-06,9.01263e-07,0.113405
82,0.00109609,1.52062e-07,1.12741e-07,0.175391
84,0.000832714,3.39724e-07,2.12246e-07,0.239566
86,0.00111464,2.02146e-07,1.64529e-07,0.374537
88,0.00382605,2.14954e-06,8.16888e-07,0.509636
90,0.00126002,4.21281e-07,1.06309e-06,0.467023
92,0.00126002,4.21281e-07,1.06309e-06,0.467023
94,0.00251218,1.44526e-06,1.3353e-06,0.393574
96,0.00178931,5.94241e-07,1.98209e-07,0.367698
98,0.00140821,6.23357e-07,9.44977e-07,0.32076
100,0.00154674,2.26589e-07,2.16067e-07,0.490351
102,0.00139585,2.88967e-07,6.33874e-07,0.264658
104,0.00139585,2.88967e-07,6.33874e-07,0.264658
106,0.000950566,1.72483e-07,1.73058e-07,0.310716
108,0.00176461,7.83685e-08,2.53754e-07,0.250591
110,0.00148741,2.16849e-06,1.3337e-06,0.260079
112,0.00106222,2.914e-07,1.28097e-07,0.281572
114,0.00375219,7.64183e-07,1.15447e-06,0.7429
116,0.00135278,2.75211e-07,4.41942e-07,0.812924
118,0.00222403,1.27394e-06,1.29085e-06,0.698562
120,0.00135181,2.60823e-07,8.17364e-07,0.777997
122,0.000607742,1.37689e-07,1.06311e-07,0.728846
124,0.00116246,4.52169e-07,2.42348e-07,0.832062
126,0.00124011,4.54225e-07,2.81005e-07,0.695432
128,0.00124011,4.54225e-07,2.81005e-07,0.695432
130,0.00124011,4.54225e-07,2.81005e-07,0.695432
132,0.00161067,1.70842e-06,5.15572e-07,1.16567
134,0.00161067,1.70842e-06,5.15572e-07,1.16567
136,0.00214902,2.20943e-07,1.49018e-07,1.26507
138,0.0010772,6.86668e-07,2.95192e-07,1.81335
140,0.00163285,1.75561e-07,2.11478e-07,1.49208
142,0.00122524,3.54565e-07,1.2452e-07,0.99043
144,0.000815279,7.6679e-08,8.73521e-08,1.05302
146,0.0019618,2.16957e-07,5.5771e-07,1.43666
148,0.00137009,7.85209e-07,4.7247e-07,2.0131
150,0.00239853,8.07341e-07,5.06818e-07,1.65318
152,0.00122224,2.38921e-07,2.98116e-07,1.32382
154,0.00122224,2.38921e-07,2.98116e-07,1.32382
156,0.00175226,4.83851e-07,5.32367e-07,1.82118
158,0.00123481,2.42679e-07,3.35349e-07,1.29262
160,0.00151462,1.85486e-07,3.21577e-07,0.871521
162,0.00118586,3.72052e-07,9.17997e-07,1.22332
164,0.00118586,3.72052e-07,9.17997e-07,1.22332
166,0.00118586,3.72052e-07,9.17997e-07,1.22332
168,0.00234054,7.41352e-07,9.02653e-07,0.800798
